"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"BC"	"Delivery_mode"	"C-section"	"Delivery_modeC-section"	2.17330078268697	0	0.621884049581009	0.00124956176711453	0.0271914413645533	0.00124956176711453	0.0271914413645533	NA	"abundance"	46	46
"PC"	"Delivery_mode"	"C-section"	"Delivery_modeC-section"	1.64712516057223	0	0.502146855561239	0.00226595344704611	0.0271914413645533	0.00226595344704611	0.0271914413645533	NA	"abundance"	46	46
"AC"	"Delivery_mode"	"C-section"	"Delivery_modeC-section"	1.88617031082535	0	0.74838094211846	0.016167777288138	0.129342218305104	0.016167777288138	0.129342218305104	NA	"abundance"	46	46
"AC"	"Termness"	"term"	"Termnessterm"	2.26737076304262	0	1.04689329137417	0.0368426083192353	0.176844519932329	0.0368426083192353	0.176844519932329	NA	"abundance"	46	46
"BC"	"Termness"	"term"	"Termnessterm"	1.92673286518925	0	0.869939629510111	0.0330129153079433	0.176844519932329	0.0330129153079433	0.176844519932329	NA	"abundance"	46	46
"BC"	"Ethnicity"	"European"	"EthnicityEuropean"	-0.987568811362926	0	0.530321059131714	0.0705297132324999	0.21901421956719	0.0705297132324999	0.21901421956719	NA	"abundance"	46	46
"BC"	"Read_depth"	"Read_depth"	"Read_depth"	0.499528354536533	0	0.253265101253395	0.0560780851524981	0.21901421956719	0.0560780851524981	0.21901421956719	NA	"abundance"	46	46
"PC"	"Termness"	"term"	"Termnessterm"	1.29623547638098	0	0.702441958080334	0.07300473985573	0.21901421956719	0.07300473985573	0.21901421956719	NA	"abundance"	46	46
"AC"	"Read_depth"	"Read_depth"	"Read_depth"	0.428581180912716	0	0.304781534772348	0.168010511441299	0.403225227459117	0.168010511441299	0.403225227459117	NA	"abundance"	46	46
"PC"	"Read_depth"	"Read_depth"	"Read_depth"	0.292041526263843	0	0.204501585630754	0.161660256889013	0.403225227459117	0.161660256889013	0.403225227459117	NA	"abundance"	46	46
"AC"	"Feeding_method"	"Breastfed"	"Feeding_methodBreastfed"	0.789161374617803	0	0.631507239785184	0.219275610878701	0.404816512391448	0.219275610878701	0.404816512391448	NA	"abundance"	46	46
"BC"	"Feeding_method"	"Breastfed"	"Feeding_methodBreastfed"	0.697897623092997	0	0.524765206481129	0.191684066822957	0.404816512391448	0.191684066822957	0.404816512391448	NA	"abundance"	46	46
"BC"	"Probiotics"	"Yes"	"ProbioticsYes"	1.19704156660267	0	0.94862724158765	0.214893546527287	0.404816512391448	0.214893546527287	0.404816512391448	NA	"abundance"	46	46
"AC"	"Antibiotics"	"Yes"	"AntibioticsYes"	0.663620427796099	0	0.911912188712364	0.471362828976822	0.705151805502621	0.471362828976822	0.705151805502621	NA	"abundance"	46	46
"AC"	"Ethnicity"	"European"	"EthnicityEuropean"	-0.385410267863729	0	0.638193203581357	0.549589559013067	0.705151805502621	0.549589559013067	0.705151805502621	NA	"abundance"	46	46
"AC"	"Probiotics"	"Yes"	"ProbioticsYes"	0.515554278193793	0	1.14158668204614	0.654184709895255	0.705151805502621	0.654184709895255	0.705151805502621	NA	"abundance"	46	46
"AC"	"Sex"	"Female"	"SexFemale"	0.339826601840458	0	0.612380421043987	0.582283885534173	0.705151805502621	0.582283885534173	0.705151805502621	NA	"abundance"	46	46
"BC"	"Antibiotics"	"Yes"	"AntibioticsYes"	0.319462821527958	0	0.757774033065851	0.675770480273345	0.705151805502621	0.675770480273345	0.705151805502621	NA	"abundance"	46	46
"BC"	"Sex"	"Female"	"SexFemale"	-0.389437381268613	0	0.508871344378352	0.448949410876683	0.705151805502621	0.448949410876683	0.705151805502621	NA	"abundance"	46	46
"PC"	"Antibiotics"	"Yes"	"AntibioticsYes"	0.38109300069407	0	0.61187266048445	0.537216072561677	0.705151805502621	0.537216072561677	0.705151805502621	NA	"abundance"	46	46
"PC"	"Ethnicity"	"European"	"EthnicityEuropean"	-0.317867185694325	0	0.428213350157981	0.462586050725225	0.705151805502621	0.462586050725225	0.705151805502621	NA	"abundance"	46	46
"PC"	"Feeding_method"	"Breastfed"	"Feeding_methodBreastfed"	0.202996591808866	0	0.423727218152614	0.634705506754866	0.705151805502621	0.634705506754866	0.705151805502621	NA	"abundance"	46	46
"PC"	"Probiotics"	"Yes"	"ProbioticsYes"	0.399338669012416	0	0.765979102991801	0.605233847580139	0.705151805502621	0.605233847580139	0.705151805502621	NA	"abundance"	46	46
"PC"	"Sex"	"Female"	"SexFemale"	0.00838162959640724	0	0.410893551035712	0.983835056007473	0.983835056007473	0.983835056007473	0.983835056007473	NA	"abundance"	46	46
"AC"	"Antibiotics"	"Yes"	"AntibioticsYes"	NA	0	NA	NA	NA	0.471362828976822	0.705151805502621	"All logistic values are the same"	"prevalence"	46	46
