"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY.5747..2.methylcitrate.cycle.II"	"Termness"	"term"	"Termnessterm"	6.37206250443211	-0.326893885285414	1.54611676499583	0.000416327738123612	0.551946498817378	0.000832482147461693	0.593299658744422	NA	"abundance"	46	27
"PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine"	"Probiotics"	"Yes"	"ProbioticsYes"	3.55565554031104	-0.0543009958576768	0.905033247960524	0.00034299887984468	0.551946498817378	0.000685880111457786	0.593299658744422	NA	"abundance"	46	45
"PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction."	"Read_depth"	"Read_depth"	"Read_depth"	-0.750900005372404	0.0340356923477607	0.18519048092875	0.000210118998858144	0.551946498817378	0.000210118998858144	0.593299658744422	NA	"abundance"	46	46
"PWY0.42..2.methylcitrate.cycle.I"	"Termness"	"term"	"Termnessterm"	7.17614526565485	-0.326893885285414	1.69604593184204	0.000338813392764536	0.551946498817378	0.000677511991013956	0.593299658744422	NA	"abundance"	46	27
"GLUTORN.PWY..L.ornithine.biosynthesis.I"	"Read_depth"	"Read_depth"	"Read_depth"	0.340179959135168	0.0340356923477607	0.0774859395765675	0.00167409610255198	0.61059368926459	0.00167409610255198	0.593299658744422	NA	"abundance"	46	46
"P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle."	"Delivery_mode"	"C-section"	"Delivery_modeC-section"	3.72728030826987	-0.0943812814119782	1.10383618529874	0.00163502275355587	0.61059368926459	0.0032673722077071	0.649675207891319	NA	"abundance"	46	40
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome."	"Read_depth"	"Read_depth"	"Read_depth"	0.625090398074249	0.0340356923477607	0.151796542186241	0.000685971836694499	0.61059368926459	0.00137147311602826	0.593299658744422	NA	"abundance"	46	44
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I"	"Termness"	"term"	"Termnessterm"	0.467587345491137	-0.326893885285414	0.192503349772246	0.00144764748337134	0.61059368926459	0.00144764748337134	0.593299658744422	NA	"abundance"	46	46
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II"	"Termness"	"term"	"Termnessterm"	0.497250213307868	-0.326893885285414	0.205001537641806	0.00160543415298431	0.61059368926459	0.00160543415298431	0.593299658744422	NA	"abundance"	46	46
"PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I"	"Probiotics"	"Yes"	"ProbioticsYes"	2.2220799647516	-0.0543009958576768	0.643745016638177	0.00130774427673042	0.61059368926459	0.00130774427673042	0.593299658744422	NA	"abundance"	46	46
