feature	Bifidobacterium_breve.t__SGB17247	Veillonella_parvula.t__SGB6939	Bifidobacterium_dentium.t__SGB17234	Streptococcus_salivarius.t__SGB8005	Lacticaseibacillus_rhamnosus.t__SGB7144	Enterococcus_faecalis.t__SGB7962	Enterobacter_hormaechei.t__SGB10130	Klebsiella_grimontii.t__SGB10120	Staphylococcus_epidermidis.t__SGB7865	Staphylococcus_hominis.t__SGB7858	Streptococcus_thermophilus.t__SGB8002	Streptococcus_vestibularis.t__SGB8003	Veillonella_dispar.t__SGB6952	Veillonella_atypica.t__SGB6936	Corynebacterium_kroppenstedtii.t__SGB17005	Veillonella_rogosae.t__SGB6956	Cutibacterium_avidum.t__SGB16953	Bifidobacterium_pseudocatenulatum.t__SGB17237	Anaerococcus_octavius.t__SGB6655	Anaerococcus_nagyae.t__SGB24935	Clostridium_perfringens.t__SGB6191	Negativicoccus_succinicivorans.t__SGB5794	Staphylococcus_aureus.t__SGB7852	Lancefieldella_parvula.t__SGB966	Actinomyces_sp_ph3.t__SGB17137_group	Haemophilus_parainfluenzae.t__SGB9663_group	Dermabacter_hominis.t__SGB17179	Finegoldia_magna.t__SGB6686_group	Phocaeicola_dorei.t__SGB1815	Staphylococcus_lugdunensis.t__SGB7850	Bacteroides_faecis.t__SGB1860	Streptococcus_mitis.t__SGB8180_group	Rothia_mucilaginosa.t__SGB16971_group	Escherichia_coli.t__SGB10068	Bifidobacterium_bifidum.t__SGB17256	Raoultella_ornithinolytica.t__SGB10124	Clostridium_butyricum.t__SGB6170	Rothia_mucilaginosa.t__SGB16985	Lactobacillus_acidophilus.t__SGB7044	Corynebacterium_kroppenstedtii.t__SGB17000	Klebsiella_variicola.t__SGB10114	Streptococcus_salivarius.t__SGB8007_group	Streptococcus_mitis.t__SGB8168	Corynebacterium_pseudodiphtheriticum.t__SGB17013	Dolosigranulum_pigrum.t__SGB7017	Enterococcus_gilvus.t__SGB7929	Klebsiella_pneumoniae.t__SGB10115	Veillonella_seminalis.t__SGB6923	Streptococcus_parasanguinis.t__SGB8071	Klebsiella_michiganensis.t__SGB10119	Bifidobacterium_longum.t__SGB17248	Streptococcus_pasteurianus.t__SGB8018	Enterobacter_asburiae.t__SGB10141	Enterobacter_roggenkampii.t__SGB10139	Leclercia_adecarboxylata.t__SGB10147	Acinetobacter_johnsonii.t__SGB10398	Kluyvera_cryocrescens.t__SGB23242	Stenotrophomonas_maltophilia.t__SGB12459	Acinetobacter_ursingii.t__SGB10372	Bacteroides_uniformis.t__SGB1836	Citrobacter_freundii.t__SGB10083	Parabacteroides_distasonis.t__SGB1934	Eggerthella_lenta.t__SGB14809	Enterobacter_kobei.t__SGB10133	Prevotella_bivia.t__SGB1557	Acinetobacter_guillouiae.t__SGB10380	Clostridium_neonatale.t__SGB6169	Citrobacter_braakii.t__SGB10086	Staphylococcus_haemolyticus.t__SGB7861	Serratia_marcescens.t__SGB10251	Neisseria_subflava.t__SGB9450	Erysipelatoclostridium_ramosum.t__SGB6744	Clostridium_tertium.t__SGB6183	Corynebacterium_accolens.t__SGB17097	Cutibacterium_acnes.t__SGB16955	Veillonella_sp_3627.t__SGB6934	Bifidobacterium_catenulatum.t__SGB17241	Actinomyces_urogenitalis.t__SGB15868	Veillonella_sp_3310.t__SGB6930	Gemella_haemolysans.t__SGB7285_group	Collinsella_aerofaciens.t__SGB14535_group	Intestinibacter_bartlettii.t__SGB6140	Haemophilus_parahaemolyticus.t__SGB9632	Rothia_mucilaginosa.t__SGB16986	Cellulosilyticum_lentocellum.t__SGB6079	Winkia_neuii.t__SGB17192	Peptostreptococcus_anaerobius.t__SGB746	Peptoniphilus_gorbachii.t__SGB6699	Proteus_mirabilis.t__SGB9992	Cutibacterium_granulosum.t__SGB16958	Clostridium_paraputrificum.t__SGB6187	Haemophilus_parainfluenzae.t__SGB9657	Enterobacter_bugandensis.t__SGB10135	Phytobacter_diazotrophicus.t__SGB10057	Streptococcus_sp_F0442.t__SGB8067	Haemophilus_haemolyticus.t__SGB9649	Megasphaera_micronuciformis.t__SGB5868	Scardovia_wiggsiae.t__SGB15494	Corynebacterium_bovis.t__SGB33717	Streptococcus_infantis.t__SGB8095	Corynebacterium_simulans.t__SGB17120	Atlantibacter_hermannii.t__SGB10047	Klebsiella_oxytoca.t__SGB10118
CB10	NA	NA	NA	-10.1715139948859	NA	-4.96950401560396	NA	NA	-10.7526547846546	-8.76697585261181	NA	NA	-12.5661209807741	NA	NA	NA	NA	NA	NA	NA	-4.75653369042315	NA	-16.5669961370283	NA	NA	-11.1683562025098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.6332768387041	NA	NA	NA	NA	-0.630220191708257	-1.83381931884182	-14.0686213213033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB11	-1.02627763705947	-4.96160710095088	-4.4809088112358	NA	-8.76798236168907	-12.392410335294	NA	NA	-7.78223482880919	-17.3466066456809	-12.342105253446	-13.1528349022842	-8.34759320023372	-6.43450322357716	NA	NA	-12.0544384176364	NA	NA	NA	NA	NA	-9.81678569915222	NA	NA	NA	NA	NA	NA	-12.4729574738175	NA	NA	NA	NA	NA	NA	NA	-8.88683352034517	NA	NA	NA	-16.7457026010907	NA	NA	NA	NA	-1.8207371947887	-13.3436041575194	-8.50514712973653	-8.28011377242215	-8.21891318613848	NA	-14.9406142860051	-12.3986288580292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.39629376978127	-11.81626534025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.75461687806579	-18.0835722398471	NA	NA	NA	NA	NA	-11.506982920151	NA	NA	NA	NA	NA
CB12	NA	NA	NA	NA	NA	NA	NA	NA	-5.94056025601392	-8.17814258163972	NA	NA	-5.24859015129219	-9.72235863422778	NA	NA	-5.76684201647662	NA	NA	NA	NA	NA	NA	NA	NA	-11.805380070263	NA	NA	NA	-6.00816650814156	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.7586407911813	NA	-8.25839173075663	NA	-14.7981691553679	NA	NA	-1.76867593933617	NA	NA	NA	-2.29693516830352	NA	NA	-5.82516074103249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.3424789678755	NA	NA	NA	-11.0434338924323	NA	NA	NA	-1.48181630059222	-5.84893686901839	-14.3346331383979	NA	NA	NA	NA	NA	NA	-11.0876472294961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.49593708251751	NA	NA	-13.191450237952	-9.36256715277715	NA
CB13	NA	NA	NA	NA	NA	-1.83818335881146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.98823860225843	NA	-11.3548951325381	NA	NA	-16.4333175575268	NA	NA	NA	NA	NA	NA	NA	-0.539003630536474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.240871981077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.6461662061924	NA	NA	NA	NA
CB14	NA	NA	NA	NA	NA	NA	NA	NA	-11.1085198401614	NA	-14.2422694087883	NA	-8.52797063647418	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.81043981450423	NA	NA	-6.19305403689491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-16.346606068603	NA	NA	NA	-1.44393144445757	NA	-10.8128869974631	-5.42183067182837	NA	NA	-12.7191937817569	NA	NA	NA	NA	NA	NA	NA	-4.82206027262974	NA	NA	NA	NA	NA	-0.872593607686634	NA	NA	NA	-13.7516594793092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.5984132190136	NA	NA	-15.5881607470264	-11.5128726197221	NA	NA	NA	NA	NA	NA	NA
CB15	NA	-11.7930407679019	NA	NA	NA	-7.8977326416643	NA	NA	-8.77991773935075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.6629096142965	NA	NA	-7.32324443310616	NA	NA	NA	NA	NA	-13.6836410558806	-13.9984680943928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.4519903775751	-8.32924086331029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.2339059358537	NA	-0.0325540969716121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB16	-2.83853483928373	NA	NA	NA	NA	NA	NA	NA	-10.4395151125969	NA	NA	NA	NA	NA	-8.83189201446453	NA	NA	NA	NA	NA	NA	NA	-8.24638177272883	NA	-16.0538243193752	-11.8314318980387	NA	NA	NA	-7.74026255040548	NA	NA	-14.2200736626741	-5.94905621082161	-0.310545349922212	NA	NA	NA	NA	NA	NA	-7.81811939907584	-14.8272319095094	-13.5187870439857	NA	NA	NA	NA	NA	NA	-5.52930925564314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.4349144867307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14.046482344034	-17.6989078125339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB17	NA	-7.240523015837	NA	NA	NA	-8.7178567712185	NA	NA	-5.13132081951291	-6.43320549432918	NA	NA	NA	NA	NA	NA	NA	NA	NA	-15.005569150768	-4.92182303875016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.9175480990092	NA	NA	NA	NA	NA	NA	NA	NA	-5.77759702641842	-11.3765960731712	NA	NA	NA	NA	NA	-12.3785153165578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.18196457939928	NA	NA	NA	NA	-1.66750217815153	-4.93148491938793	NA	NA	NA	NA	NA	NA	-9.15340928409614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.22277295829091	NA	NA	NA	NA	NA	NA	NA
CB18	-2.79463179981245	-7.84188666370658	NA	NA	-10.7759916353808	-7.69465774641855	NA	NA	-3.63673993252995	-12.6657194364223	NA	NA	-8.26232944661051	NA	NA	NA	-11.491945720306	NA	NA	NA	-17.6096407629758	-10.4125223829286	-5.3096944110892	NA	NA	NA	NA	NA	NA	NA	NA	NA	-16.8272321980484	NA	NA	NA	NA	NA	NA	-8.01995216866562	NA	-5.76439379526057	-13.6024452615716	NA	NA	NA	NA	NA	NA	NA	-0.689677154597474	NA	-10.4774752374977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.1756798318546	NA	NA	NA	NA	NA	-16.2534969527505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.57509453484506	NA	-10.7894618005606	NA	-9.79099468015325	-15.581071610779	NA	NA	NA	NA
CB19	-1.31993905264888	-1.90274750406177	NA	NA	NA	-4.08195836575691	NA	NA	-3.24247707771642	NA	-14.9181064537871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.89560121505452	-11.4668187745904	NA	NA	-14.015092069156	NA	NA	-15.7940651898437	NA	NA	NA	NA	NA	NA	NA	NA	-7.63620154017217	NA	NA	NA	NA	NA	NA	-6.63339155987397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.61679785186411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.25138503200118	-12.2125222096637	-13.9497160603039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
