feature	Bifidobacterium_breve.t__SGB17247	Veillonella_parvula.t__SGB6939	Bifidobacterium_dentium.t__SGB17234	Streptococcus_salivarius.t__SGB8005	Lacticaseibacillus_rhamnosus.t__SGB7144	Enterococcus_faecalis.t__SGB7962	Enterobacter_hormaechei.t__SGB10130	Klebsiella_grimontii.t__SGB10120	Staphylococcus_epidermidis.t__SGB7865	Staphylococcus_hominis.t__SGB7858	Streptococcus_thermophilus.t__SGB8002	Streptococcus_vestibularis.t__SGB8003	Veillonella_dispar.t__SGB6952	Veillonella_atypica.t__SGB6936	Corynebacterium_kroppenstedtii.t__SGB17005	Veillonella_rogosae.t__SGB6956	Cutibacterium_avidum.t__SGB16953	Bifidobacterium_pseudocatenulatum.t__SGB17237	Anaerococcus_octavius.t__SGB6655	Anaerococcus_nagyae.t__SGB24935	Clostridium_perfringens.t__SGB6191	Negativicoccus_succinicivorans.t__SGB5794	Staphylococcus_aureus.t__SGB7852	Lancefieldella_parvula.t__SGB966	Actinomyces_sp_ph3.t__SGB17137_group	Haemophilus_parainfluenzae.t__SGB9663_group	Dermabacter_hominis.t__SGB17179	Finegoldia_magna.t__SGB6686_group	Phocaeicola_dorei.t__SGB1815	Staphylococcus_lugdunensis.t__SGB7850	Bacteroides_faecis.t__SGB1860	Streptococcus_mitis.t__SGB8180_group	Rothia_mucilaginosa.t__SGB16971_group	Escherichia_coli.t__SGB10068	Bifidobacterium_bifidum.t__SGB17256	Raoultella_ornithinolytica.t__SGB10124	Clostridium_butyricum.t__SGB6170	Rothia_mucilaginosa.t__SGB16985	Lactobacillus_acidophilus.t__SGB7044	Corynebacterium_kroppenstedtii.t__SGB17000	Klebsiella_variicola.t__SGB10114	Streptococcus_salivarius.t__SGB8007_group	Streptococcus_mitis.t__SGB8168	Corynebacterium_pseudodiphtheriticum.t__SGB17013	Dolosigranulum_pigrum.t__SGB7017	Enterococcus_gilvus.t__SGB7929	Klebsiella_pneumoniae.t__SGB10115	Veillonella_seminalis.t__SGB6923	Streptococcus_parasanguinis.t__SGB8071	Klebsiella_michiganensis.t__SGB10119	Bifidobacterium_longum.t__SGB17248	Streptococcus_pasteurianus.t__SGB8018	Enterobacter_asburiae.t__SGB10141	Enterobacter_roggenkampii.t__SGB10139	Leclercia_adecarboxylata.t__SGB10147	Acinetobacter_johnsonii.t__SGB10398	Kluyvera_cryocrescens.t__SGB23242	Stenotrophomonas_maltophilia.t__SGB12459	Acinetobacter_ursingii.t__SGB10372	Bacteroides_uniformis.t__SGB1836	Citrobacter_freundii.t__SGB10083	Parabacteroides_distasonis.t__SGB1934	Eggerthella_lenta.t__SGB14809	Enterobacter_kobei.t__SGB10133	Prevotella_bivia.t__SGB1557	Acinetobacter_guillouiae.t__SGB10380	Clostridium_neonatale.t__SGB6169	Citrobacter_braakii.t__SGB10086	Staphylococcus_haemolyticus.t__SGB7861	Serratia_marcescens.t__SGB10251	Neisseria_subflava.t__SGB9450	Erysipelatoclostridium_ramosum.t__SGB6744	Clostridium_tertium.t__SGB6183	Corynebacterium_accolens.t__SGB17097	Cutibacterium_acnes.t__SGB16955	Veillonella_sp_3627.t__SGB6934	Bifidobacterium_catenulatum.t__SGB17241	Actinomyces_urogenitalis.t__SGB15868	Veillonella_sp_3310.t__SGB6930	Gemella_haemolysans.t__SGB7285_group	Collinsella_aerofaciens.t__SGB14535_group	Intestinibacter_bartlettii.t__SGB6140	Haemophilus_parahaemolyticus.t__SGB9632	Rothia_mucilaginosa.t__SGB16986	Cellulosilyticum_lentocellum.t__SGB6079	Winkia_neuii.t__SGB17192	Peptostreptococcus_anaerobius.t__SGB746	Peptoniphilus_gorbachii.t__SGB6699	Proteus_mirabilis.t__SGB9992	Cutibacterium_granulosum.t__SGB16958	Clostridium_paraputrificum.t__SGB6187	Haemophilus_parainfluenzae.t__SGB9657	Enterobacter_bugandensis.t__SGB10135	Phytobacter_diazotrophicus.t__SGB10057	Streptococcus_sp_F0442.t__SGB8067	Haemophilus_haemolyticus.t__SGB9649	Megasphaera_micronuciformis.t__SGB5868	Scardovia_wiggsiae.t__SGB15494	Corynebacterium_bovis.t__SGB33717	Streptococcus_infantis.t__SGB8095	Corynebacterium_simulans.t__SGB17120	Atlantibacter_hermannii.t__SGB10047	Klebsiella_oxytoca.t__SGB10118
CB10	NA	NA	NA	0.0008671	NA	0.0319176	NA	NA	0.0005796	0.0022955	NA	NA	0.0001649	NA	NA	NA	NA	NA	NA	NA	0.0369948	NA	1.03e-05	NA	NA	0.0004345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.87e-05	NA	NA	NA	NA	0.6460778	0.280521	5.82e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB11	0.490975303609879	0.0320927871628851	0.0447828820868472	NA	0.00229389908244037	0.00018599992560003	NA	NA	0.00454269818292073	5.99999760000096e-06	0.000192599922960031	0.000109799956080018	0.00306989877204049	0.0115616953753218	NA	NA	0.000235099905960038	NA	NA	NA	NA	NA	0.00110879955648018	NA	NA	NA	NA	NA	NA	0.000175899929640028	NA	NA	NA	NA	NA	NA	NA	0.00211249915500034	NA	NA	NA	9.09999636000146e-06	NA	NA	NA	NA	0.283076286769485	9.61999615200154e-05	0.00275229889908044	0.00321689871324051	0.00335629865748054	NA	3.17999872800051e-05	0.00018519992592003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00593599762560095	0.000277299889080044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.018521992591203	3.59999856000058e-06	NA	NA	NA	NA	NA	0.000343599862560055	NA	NA	NA	NA	NA
CB12	NA	NA	NA	NA	NA	NA	NA	NA	0.0162822032564407	0.00345250069050014	NA	NA	0.0263037052607411	0.00118380023676005	NA	NA	0.0183657036731407	NA	NA	NA	NA	NA	NA	NA	NA	0.000279400055880011	NA	NA	NA	0.0155368031073606	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000144300028860006	NA	0.00326570065314013	NA	3.51000070200014e-05	NA	NA	0.293477958695592	NA	NA	NA	0.203494940698988	NA	NA	0.0176381035276207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000385100077020015	NA	NA	NA	0.000473800094760019	NA	NA	NA	0.358037771607554	0.0173498034699607	4.84000096800019e-05	NA	NA	NA	NA	NA	NA	0.000459500091900018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0221594044318809	NA	NA	0.000106900021380004	0.00151910030382006	NA
CB13	NA	NA	NA	NA	NA	0.279673727967373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0315058031505803	NA	0.000381800038180004	NA	NA	1.13000011300001e-05	NA	NA	NA	NA	NA	NA	NA	0.688246068824607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000103300010330001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.80000078000008e-05	NA	NA	NA	NA
CB14	NA	NA	NA	NA	NA	NA	NA	NA	0.0004529	NA	5.16e-05	NA	0.0027091	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0089095	NA	NA	0.013668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2e-05	NA	NA	NA	0.3675643	NA	0.0005559	0.0233274	NA	NA	0.0001483	NA	NA	NA	NA	NA	NA	NA	0.0353521	NA	NA	NA	NA	NA	0.5461641	NA	NA	NA	7.25e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000645	NA	NA	2.03e-05	0.0003422	NA	NA	NA	NA	NA	NA	NA
CB15	NA	0.0002818	NA	NA	NA	0.0041932	NA	NA	0.002275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003084	NA	NA	0.0062443	NA	NA	NA	NA	NA	7.6e-05	6.11e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0057112	0.0031092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.19e-05	NA	0.9776879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB16	0.1398028	NA	NA	NA	NA	NA	NA	NA	0.0007201	NA	NA	NA	NA	NA	0.0021945	NA	NA	NA	NA	NA	NA	NA	0.003293	NA	1.47e-05	0.0002744	NA	NA	NA	0.0046768	NA	NA	5.24e-05	0.0161866	0.8063369	NA	NA	NA	NA	NA	NA	0.0044311	3.44e-05	8.52e-05	NA	NA	NA	NA	NA	NA	0.0216527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.91e-05	4.7e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB17	NA	0.0066128	NA	NA	NA	0.002375	NA	NA	0.0285311	0.0115721	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.04e-05	0.0329901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002585	NA	NA	NA	NA	NA	NA	NA	NA	0.0182293	0.0003761	NA	NA	NA	NA	NA	0.0001878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4407509	NA	NA	NA	NA	0.3147979	0.0327699	NA	NA	NA	NA	NA	NA	0.0017561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1071146	NA	NA	NA	NA	NA	NA	NA
CB18	0.144122571175486	0.00435869912826017	NA	NA	0.000570299885940023	0.00482699903460019	NA	NA	0.0803955839208832	0.000153899969220006	NA	NA	0.00325679934864013	NA	NA	NA	0.000347199930560014	NA	NA	NA	4.9999990000002e-06	0.000733699853260029	0.025212894957421	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.59999828000034e-06	NA	NA	NA	NA	NA	NA	0.00385259922948015	NA	0.0183968963206207	8.03999839200032e-05	NA	NA	NA	NA	NA	NA	NA	0.619992576001485	NA	0.000701399859720028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000432299913540017	NA	NA	NA	NA	NA	1.27999974400005e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0839052832189433	NA	0.000564999887000023	NA	0.00112879977424005	2.03999959200008e-05	NA	NA	NA	NA
CB19	0.400551859944814	0.267433573256643	NA	NA	NA	0.0590483940951606	NA	NA	0.105661589433841	NA	3.22999967700003e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00419939958006004	0.000353299964670003	NA	NA	6.03999939600006e-05	NA	NA	1.75999982400002e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.00502659949734005	NA	NA	NA	NA	NA	NA	0.0100727989927201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0407572959242704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00164079983592002	0.000210699978930002	6.31999936800006e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
