source,target,importance
FASYN.ELONG.PWY..fatty.acid.elongation....saturated,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.941042244835029
FUCCAT.PWY..fucose.degradation,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.938840229537904
GLYOXYLATE.BYPASS..glyoxylate.cycle,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.909245604083948
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent.,HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.,0.892568609312365
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.,GALACTITOLCAT.PWY..galactitol.degradation,0.988706945228684
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.91256418000604
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis,0.979278445883441
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.908788885533072
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.961517113783534
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.903503473270915
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.977058279370953
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,0.985445575084798
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.912303422756707
P122.PWY..heterolactic.fermentation,NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,0.903162055335968
P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.,GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol,0.960931174089069
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I,ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,0.974308300395257
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,0.9276955602537
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I,BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis,0.920937403638606
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I,ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,0.929201356768424
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II,P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I,0.989022510021585
PWY.5103..L.isoleucine.biosynthesis.III,BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis,0.96854764107308
PWY.5103..L.isoleucine.biosynthesis.III,ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,0.973234659266112
PWY.5103..L.isoleucine.biosynthesis.III,PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I,0.934628430465618
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.963908184838417
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.951937984496124
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,0.912191684284708
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,0.918252290345314
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.950169596053037
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,0.943879124267653
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,0.968054270736972
PWY.5484..glycolysis.II..from.fructose.6.phosphate.,GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.,0.907616404563676
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.927882667530994
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.969193597100574
PWY.5845..superpathway.of.menaquinol.9.biosynthesis,PWY.5840..superpathway.of.menaquinol.7.biosynthesis,0.909543944427665
PWY.5850..superpathway.of.menaquinol.6.biosynthesis,PWY.5840..superpathway.of.menaquinol.7.biosynthesis,0.909543944427665
PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,PWY.5845..superpathway.of.menaquinol.9.biosynthesis,0.930081546360616
PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,PWY.5850..superpathway.of.menaquinol.6.biosynthesis,0.930081546360616
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,PWY.5845..superpathway.of.menaquinol.9.biosynthesis,0.930081546360616
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,PWY.5850..superpathway.of.menaquinol.6.biosynthesis,0.930081546360616
PWY.5896..superpathway.of.menaquinol.10.biosynthesis,PWY.5840..superpathway.of.menaquinol.7.biosynthesis,0.909543944427665
PWY.5896..superpathway.of.menaquinol.10.biosynthesis,PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,0.930081546360616
PWY.5896..superpathway.of.menaquinol.10.biosynthesis,PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,0.930081546360616
PWY.5897..superpathway.of.menaquinol.11.biosynthesis,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,0.89753347427766
PWY.5897..superpathway.of.menaquinol.11.biosynthesis,PWY.5840..superpathway.of.menaquinol.7.biosynthesis,0.918963922294172
PWY.5898..superpathway.of.menaquinol.12.biosynthesis,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,0.89753347427766
PWY.5898..superpathway.of.menaquinol.12.biosynthesis,PWY.5840..superpathway.of.menaquinol.7.biosynthesis,0.918963922294172
PWY.5899..superpathway.of.menaquinol.13.biosynthesis,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,0.89753347427766
PWY.5899..superpathway.of.menaquinol.13.biosynthesis,PWY.5840..superpathway.of.menaquinol.7.biosynthesis,0.918963922294172
PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.,FASYN.ELONG.PWY..fatty.acid.elongation....saturated,0.902806043786617
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I,0.969781066913352
PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II,PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II,0.915386987357385
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate,ARO.PWY..chorismate.biosynthesis.I,0.970521122417515
PWY.6182..superpathway.of.salicylate.degradation,CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,0.981312569521691
PWY.6182..superpathway.of.salicylate.degradation,PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.,0.980867630700779
PWY.6182..superpathway.of.salicylate.degradation,PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate,0.980867630700779
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,0.972413793103448
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,0.982404692082111
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.,0.971968854282536
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate,0.971968854282536
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PWY.6182..superpathway.of.salicylate.degradation,0.967074527252503
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I,0.969781066913352
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.930928152944804
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.,PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.,0.891335183472094
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.,PWY.5367..petroselinate.biosynthesis,0.973921200750469
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,PWY.5367..petroselinate.biosynthesis,0.918198874296435
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.,0.970544090056285
