name,carac,coef,term_col,deg
AC,cell,2.26737076304262,preterm,11
ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast,pathway,1.10758844735675,preterm,1
ANAEROFRUCAT.PWY..homolactic.fermentation,pathway,-0.140571338493925,term,31
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.,pathway,0.105928401580851,preterm,73
ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,pathway,-0.62295065000672,term,127
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation,pathway,1.82915440126688,preterm,76
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II,pathway,-0.115230335269297,term,60
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.,pathway,0.3944882771407,preterm,107
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.,pathway,0.36926346037763,preterm,135
ARO.PWY..chorismate.biosynthesis.I,pathway,0.111977837439508,preterm,83
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis,pathway,-0.454634251378857,term,153
AST.PWY..L.arginine.degradation.II..AST.pathway.,pathway,-1.11167908470462,term,165
BC,cell,1.92673286518925,preterm,5
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,pathway,-0.821527768893095,term,152
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis,pathway,0.114627900416862,preterm,65
Bifidobacterium_bifidum.t__SGB17256,species,4.02387219546376,preterm,50
Bifidobacterium_breve.t__SGB17247,species,4.87879288553466,preterm,10
Bifidobacterium_longum.t__SGB17248,species,5.92353171091991,preterm,3
Bifidobacterium_pseudocatenulatum.t__SGB17237,species,6.47539723499363,preterm,4
CALVIN.PWY..Calvin.Benson.Bassham.cycle,pathway,0.0983441547769748,preterm,44
CARNMET.PWY..L.carnitine.degradation.I,pathway,-0.0418109671960639,term,40
CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,pathway,-4.37742244683535,term,118
CENTFERM.PWY..pyruvate.fermentation.to.butanoate,pathway,-10.9893602320228,term,6
CITRULBIO.PWY..L.citrulline.biosynthesis,pathway,-0.505115246556667,term,48
COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.,pathway,0.23284287573326,preterm,113
COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals.,pathway,0.260639364338371,preterm,121
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I,pathway,-1.20310559018687,term,137
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis,pathway,-0.890947907874002,term,21
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis,pathway,0.10453640690426,preterm,85
Citrobacter_freundii.t__SGB10083,species,37.9782294551658,preterm,5
Clostridium_neonatale.t__SGB6169,species,7.57730217375566,preterm,15
Clostridium_paraputrificum.t__SGB6187,species,-6.38210802092369,term,4
Clostridium_perfringens.t__SGB6191,species,1.17396107626034,preterm,5
Cutibacterium_avidum.t__SGB16953,species,-1.00469171418202,term,5
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I,pathway,-0.316202876482983,term,51
DARABCATK12.PWY..D.arabinose.degradation.I,pathway,0.637100800643135,preterm,29
DENITRIFICATION.PWY..nitrate.reduction.I..denitrification.,pathway,0.911055047115558,preterm,2
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,pathway,-0.874281046684579,term,79
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,pathway,1.06250379934665,preterm,77
ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,pathway,-1.43800434936455,term,95
Enterobacter_asburiae.t__SGB10141,species,-15.2345007877521,term,19
Enterobacter_hormaechei.t__SGB10130,species,-12.4524686233958,term,11
Enterococcus_faecalis.t__SGB7962,species,-0.00263512783431948,term,13
Escherichia_coli.t__SGB10068,species,13.3541343924552,preterm,86
FAO.PWY..fatty.acid..beta..oxidation.I..generic.,pathway,-0.527271630121119,term,143
FASYN.ELONG.PWY..fatty.acid.elongation....saturated,pathway,-0.648242956794352,term,149
FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.,pathway,3.21313523522404,preterm,80
FERMENTATION.PWY..mixed.acid.fermentation,pathway,-0.849190178868067,term,159
FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage,pathway,1.80356684792525,preterm,62
FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,pathway,-1.39112432825964,term,168
FUCCAT.PWY..fucose.degradation,pathway,-1.5395389771284,term,164
Finegoldia_magna.t__SGB6686_group,species,-8.20403976922949,term,3
GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation,pathway,1.49621341264453,preterm,71
GALACTARDEG.PWY..D.galactarate.degradation.I,pathway,-1.39332607754695,term,172
GALACTITOLCAT.PWY..galactitol.degradation,pathway,3.34684838789054,preterm,36
GALACTUROCAT.PWY..D.galacturonate.degradation.I,pathway,0.579945108290191,preterm,63
GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation,pathway,-0.765337515860852,term,65
GLUCARDEG.PWY..D.glucarate.degradation.I,pathway,-0.73067012511917,term,169
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,pathway,-1.39332607754695,term,172
GLUCONEO.PWY..gluconeogenesis.I,pathway,-0.377406811422486,term,103
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation,pathway,-0.681981177627905,term,60
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation,pathway,2.91918404812235,preterm,89
GLUDEG.I.PWY..GABA.shunt,pathway,0.0923510258250813,preterm,37
GLUTORN.PWY..L.ornithine.biosynthesis.I,pathway,0.0434452152257153,preterm,50
GLYCOCAT.PWY..glycogen.degradation.I,pathway,-0.326463438930655,term,34
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,pathway,-0.387032977729287,term,52
GLYCOL.GLYOXDEG.PWY..superpathway.of.glycol.metabolism.and.degradation,pathway,-0.247943803583049,term,35
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.,pathway,0.00895206307679688,preterm,43
GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway,pathway,-0.273517338207319,term,131
GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass,pathway,-0.888255063717166,term,54
GLYOXYLATE.BYPASS..glyoxylate.cycle,pathway,-0.956282673961046,term,170
GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol,pathway,-1.86761094124674,term,98
HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.hydroxypentadienoate,pathway,-0.333645721198272,term,119
HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic.,pathway,-0.509578872345138,term,111
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.,pathway,-0.659866169018744,term,164
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent.,pathway,-0.54200195632763,term,151
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.,pathway,2.104500722892,preterm,30
HISDEG.PWY..L.histidine.degradation.I,pathway,-1.12209726283468,term,71
HISTSYN.PWY..L.histidine.biosynthesis,pathway,0.170684317206468,preterm,137
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,pathway,-0.967017951823829,term,151
HSERMETANA.PWY..L.methionine.biosynthesis.III,pathway,0.678075645254195,preterm,134
Haemophilus_parainfluenzae.t__SGB9663_group,species,1.48589800853503,preterm,3
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,pathway,0.14430934615931,preterm,70
KDO.NAGLIPASYN.PWY..superpathway.of..Kdo.2.lipid.A.biosynthesis,pathway,4.24022924925163,preterm,59
KETOGLUCONMET.PWY..ketogluconate.metabolism,pathway,-0.800677532611357,term,30
Klebsiella_michiganensis.t__SGB10119,species,3.95046432658456,preterm,5
Klebsiella_pneumoniae.t__SGB10115,species,3.54704010579337,preterm,60
LACTOSECAT.PWY..lactose.and.galactose.degradation.I,pathway,1.52225427563339,preterm,90
LIPA.CORESYN.PWY..lipid.A.core.biosynthesis..E..coli.K.12.,pathway,-4.28991361537355,term,61
LIPASYN.PWY..phospholipases,pathway,-0.795012209209625,term,146
LPSSYN.PWY..superpathway.of.lipopolysaccharide.biosynthesis,pathway,-2.57874549434508,term,59
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,pathway,-0.801379760280654,term,137
METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation,pathway,-1.73304978187473,term,100
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,pathway,-0.86146538857453,term,142
NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,pathway,-1.96946731833341,term,86
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,pathway,-0.898308759833452,term,173
NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I,pathway,0.253696932348359,preterm,103
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I,pathway,-0.0514776719800312,term,48
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.,pathway,0.822439176175126,preterm,45
ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation,pathway,1.82915440126688,preterm,76
ORNDEG.PWY..superpathway.of.ornithine.degradation,pathway,-0.120384372603505,term,142
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.,pathway,-1.59121654426674,term,143
P108.PWY..pyruvate.fermentation.to.propanoate.I,pathway,-3.67779277039262,term,95
P122.PWY..heterolactic.fermentation,pathway,-1.8896488010241,term,114
P124.PWY..Bifidobacterium.shunt,pathway,1.77990715339468,preterm,13
P125.PWY..superpathway.of..R.R..butanediol.biosynthesis,pathway,3.91549423051314,preterm,51
P161.PWY..acetylene.degradation..anaerobic.,pathway,-2.05440398475744,term,141
P164.PWY..purine.nucleobases.degradation.I..anaerobic.,pathway,-0.291389805342176,term,23
P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.,pathway,-1.90183873965593,term,93
P221.PWY..octane.oxidation,pathway,-0.922423679549132,term,84
P23.PWY..reductive.TCA.cycle.I,pathway,0.335804813327605,preterm,79
P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I,pathway,-0.832861981214471,term,111
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I,pathway,-0.464843043221063,term,77
P42.PWY..incomplete.reductive.TCA.cycle,pathway,2.00283236723547,preterm,58
P441.PWY..superpathway.of.N.acetylneuraminate.degradation,pathway,-0.904247618040627,term,106
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,pathway,-0.902385637599857,term,174
P562.PWY..myo.inositol.degradation.I,pathway,0.0525828334151583,preterm,30
P621.PWY..nylon.6.oligomer.degradation,pathway,-2.16297277439926,term,11
PANTO.PWY..phosphopantothenate.biosynthesis.I,pathway,-0.301582070535099,term,26
PANTOSYN.PWY..superpathway.of.coenzyme.A.biosynthesis.I..bacteria.,pathway,-0.0739547808937726,term,45
PC,cell,1.29623547638098,preterm,7
PENTOSE.P.PWY..pentose.phosphate.pathway,pathway,-0.224824071793517,term,61
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.,pathway,0.426836505837752,preterm,137
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.,pathway,-0.289040971192763,term,135
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I,pathway,-0.905347162560883,term,145
POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.,pathway,-0.845523629438345,term,130
PPGPPMET.PWY..ppGpp.metabolism,pathway,-1.07139911101978,term,97
PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,pathway,-1.96028798262049,term,91
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,pathway,-1.42108953367175,term,97
PWY.1042..glycolysis.IV,pathway,0.0290853626598928,preterm,65
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis,pathway,-1.10971111409421,term,176
PWY.1622..formaldehyde.assimilation.I..serine.pathway.,pathway,3.72494145230511,preterm,9
PWY.1861..formaldehyde.assimilation.II..assimilatory.RuMP.Cycle.,pathway,0.601738829308962,preterm,28
PWY.2221..Entner.Doudoroff.pathway.III..semi.phosphorylative.,pathway,0.461459701363626,preterm,1
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type,pathway,0.942030286577735,preterm,88
PWY.2941..L.lysine.biosynthesis.II,pathway,0.60263026084473,preterm,69
PWY.2942..L.lysine.biosynthesis.III,pathway,1.10648969360178,preterm,13
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I,pathway,-0.0301096027002746,term,69
PWY.3801..sucrose.degradation.II..sucrose.synthase.,pathway,2.04569019908052,preterm,42
PWY.3841..folate.transformations.II..plants.,pathway,0.185732254572004,preterm,141
PWY.4041...gamma..glutamyl.cycle,pathway,-0.334985502153023,term,26
PWY.4984..urea.cycle,pathway,-4.7605380054667,term,42
PWY.5005..biotin.biosynthesis.II,pathway,3.05075880123317,preterm,48
PWY.5028..L.histidine.degradation.II,pathway,-1.87477586644266,term,13
PWY.5030..L.histidine.degradation.III,pathway,1.69902283966981,preterm,6
PWY.5097..L.lysine.biosynthesis.VI,pathway,0.21305221669225,preterm,106
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II,pathway,-0.51995971502172,term,72
PWY.5103..L.isoleucine.biosynthesis.III,pathway,-8.80585497369791e-05,term,63
PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.,pathway,0.888197962305537,preterm,33
PWY.5130..2.oxobutanoate.degradation.I,pathway,0.251158645616617,preterm,15
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,pathway,-0.630849215308585,term,161
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.,pathway,-0.845281807876782,term,109
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.,pathway,-0.797443548304113,term,89
PWY.5180..toluene.degradation.I..aerobic...via.o.cresol.,pathway,-1.1836190108948,term,85
PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.,pathway,-0.0609328793571997,term,73
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.,pathway,0.702415506015048,preterm,75
PWY.5265..peptidoglycan.biosynthesis.II..staphylococci.,pathway,2.20437151072979,preterm,61
PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.,pathway,-0.676229216856176,term,50
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.,pathway,-0.874885956932044,term,140
PWY.5367..petroselinate.biosynthesis,pathway,0.811469656657902,preterm,94
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.,pathway,-0.972370646629424,term,71
PWY.5415..catechol.degradation.I..meta.cleavage.pathway.,pathway,0.185782014910777,preterm,12
