"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY.6151..S.adenosyl.L.methionine.salvage.I"	"propionate"	"propionate"	"propionate"	-0.208313816347968	0.116063644992672	0.0437520478890528	1.96811191788271e-08	0.000154732958983939	1.96811191788271e-08	9.70672797899752e-05	NA	"abundance"	80	80
"PWY.5097..L.lysine.biosynthesis.VI"	"propionate"	"propionate"	"propionate"	-0.155149043352996	0.116063644992672	0.0368954283588101	8.57399418130456e-08	0.000308483605013521	8.57399418130456e-08	0.000193518333747988	NA	"abundance"	80	80
"PWY.5686..UMP.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.20473736986835	0.116063644992672	0.0477794666686565	1.32552114173734e-07	0.000308483605013521	1.32552114173734e-07	0.000193518333747988	NA	"abundance"	80	80
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II"	"propionate"	"propionate"	"propionate"	-0.178129921994481	0.116063644992672	0.0435624943024018	1.96186469736404e-07	0.000308483605013521	1.96186469736404e-07	0.000193518333747988	NA	"abundance"	80	80
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis"	"propionate"	"propionate"	"propionate"	-0.178129921994481	0.116063644992672	0.0435624943024018	1.91717008934944e-07	0.000308483605013521	1.91717008934944e-07	0.000193518333747988	NA	"abundance"	80	80
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"propionate"	"propionate"	"propionate"	-0.190061431365217	0.116063644992672	0.0462726409719781	2.4340195436956e-07	0.000318937694208913	2.4340195436956e-07	0.000200076406491778	NA	"abundance"	80	80
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."	"propionate"	"propionate"	"propionate"	-0.173429880976678	0.116063644992672	0.0451651319770076	4.84268535050347e-07	0.000492575881891361	4.84268535050347e-07	0.000309003338779978	NA	"abundance"	80	80
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing."	"propionate"	"propionate"	"propionate"	-0.174183074655623	0.116063644992672	0.0452741222102401	5.01221960713671e-07	0.000492575881891361	5.01221960713671e-07	0.000309003338779978	NA	"abundance"	80	80
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.157991775455654	0.116063644992672	0.0424883555683762	6.80020192822539e-07	0.000495812146653914	6.80020192822539e-07	0.000311033516573023	NA	"abundance"	80	80
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing."	"propionate"	"propionate"	"propionate"	-0.179043002242454	0.116063644992672	0.0473808545190565	7.27696183311366e-07	0.000495812146653914	7.27696183311366e-07	0.000311033516573023	NA	"abundance"	80	80
"PWY.7790..UMP.biosynthesis.II"	"propionate"	"propionate"	"propionate"	-0.195717409240403	0.116063644992672	0.050523427701696	6.43623789264858e-07	0.000495812146653914	6.43623789264858e-07	0.000311033516573023	NA	"abundance"	80	80
"PWY.7791..UMP.biosynthesis.III"	"propionate"	"propionate"	"propionate"	-0.197417161509109	0.116063644992672	0.0511423262763444	7.56772546406381e-07	0.000495812146653914	7.56772546406381e-07	0.000311033516573023	NA	"abundance"	80	80
"ARO.PWY..chorismate.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.118316270965609	0.116063644992672	0.0346349018874663	8.92802603402743e-07	0.000539939543688643	8.92802603402743e-07	0.000338715572306333	NA	"abundance"	80	80
"PWY.6123..inosine.5..phosphate.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.17373108233921	0.116063644992672	0.0486978126529515	1.83909196005416e-06	0.000850525940585049	1.83909196005416e-06	0.000533553032175713	NA	"abundance"	80	80
"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate"	"propionate"	"propionate"	"propionate"	-0.120748242682375	0.116063644992672	0.0369279507523347	1.78243935999856e-06	0.000850525940585049	1.78243935999856e-06	0.000533553032175713	NA	"abundance"	80	80
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria."	"propionate"	"propionate"	"propionate"	-0.140533363383226	0.116063644992672	0.0415916467227974	1.73787496215994e-06	0.000850525940585049	1.73787496215994e-06	0.000533553032175713	NA	"abundance"	80	80
"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.209242782924738	0.116063644992672	0.0558444792217768	1.56390351035984e-06	0.000850525940585049	1.56390351035984e-06	0.000533553032175713	NA	"abundance"	80	80
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."	"propionate"	"propionate"	"propionate"	-0.167552848045165	0.116063644992672	0.0482802047271398	2.42101196445965e-06	0.00100770623054204	2.42101196445965e-06	0.00063215557479437	NA	"abundance"	80	80
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis"	"propionate"	"propionate"	"propionate"	-0.198365621234208	0.116063644992672	0.0552057591340664	2.43531141952413e-06	0.00100770623054204	2.43531141952413e-06	0.00063215557479437	NA	"abundance"	80	80
"PWY.I9..L.cysteine.biosynthesis.VI..from.L.methionine."	"propionate"	"propionate"	"propionate"	-0.156594304948327	0.116063644992672	0.048270033485995	4.90050399859498e-06	0.00192638812184769	4.90050399859498e-06	0.00120846428605352	NA	"abundance"	80	80
"PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing."	"propionate"	"propionate"	"propionate"	-0.143043540334754	0.116063644992672	0.0464340560853886	7.06964762198226e-06	0.00264674140971545	7.06964762198226e-06	0.00166035724150555	NA	"abundance"	80	80
"PWY.6629..superpathway.of.L.tryptophan.biosynthesis"	"propionate"	"propionate"	"propionate"	-0.0831768469535957	0.116063644992672	0.0326202833749343	9.34019062093228e-06	0.00319852723306737	9.34019062093228e-06	0.00209390091556536	NA	"abundance"	80	80
"PWY0.461..L.lysine.degradation.I"	"Antibiotics"	"Yes"	"AntibioticsYes"	4.73484652749188	0.0328124899086627	0.836689312858783	9.35717710004447e-06	0.00319852723306737	1.87142666433257e-05	0.00341847270684749	NA	"abundance"	80	36
"NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I"	"propionate"	"propionate"	"propionate"	-0.134551244591574	0.116063644992672	0.0454777239256993	9.83786023756039e-06	0.00322271904948749	9.83786023756039e-06	0.00210957942137599	NA	"abundance"	80	80
"PWY0.461..L.lysine.degradation.I"	"Termness"	"term"	"Termnessterm"	4.74850380341674	-0.137508250161086	0.883474872270709	1.22380270051181e-05	0.00384861473256954	1.22380270051181e-05	0.00251491454955177	NA	"abundance"	80	36
"PYRIDNUCSYN.PWY..NAD.de.novo.biosynthesis.I..from.aspartate."	"acetate"	"acetate"	"acetate"	0.269158446103579	-0.0209177725656103	0.0515308858666114	1.28699512427222e-05	0.00389167525654929	1.28699512427222e-05	0.00253898398116423	NA	"abundance"	80	79
"HISTSYN.PWY..L.histidine.biosynthesis"	"propionate"	"propionate"	"propionate"	-0.188804874890984	0.116063644992672	0.0596499981236508	1.36619065647103e-05	0.00397814479302788	1.36619065647103e-05	0.00259155858373659	NA	"abundance"	80	80
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis"	"propionate"	"propionate"	"propionate"	-0.0670565672006437	0.116063644992672	0.0318187501190331	3.28868802235149e-05	0.00920002483254239	3.28868802235149e-05	0.00577137146706933	NA	"abundance"	80	80
"VALSYN.PWY..L.valine.biosynthesis"	"propionate"	"propionate"	"propionate"	-0.120193824609099	0.116063644992672	0.0464401602541915	3.39354769961497e-05	0.00920002483254239	3.39354769961497e-05	0.00577137146706933	NA	"abundance"	80	80
"PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine"	"Probiotics"	"Yes"	"ProbioticsYes"	3.40904821147344	-0.0403654306927289	0.816292629628774	8.38354359445903e-05	0.0219704732465456	0.00016766384350886	0.0250581235207788	NA	"abundance"	80	76
"PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast."	"propionate"	"propionate"	"propionate"	-0.156184263339425	0.116063644992672	0.0599834621224076	9.1682487663558e-05	0.0232518618713191	9.1682487663558e-05	0.0150726009718889	NA	"abundance"	80	80
"GLUDEG.I.PWY..GABA.shunt"	"propionate"	"propionate"	"propionate"	1.92122989941888	0.116063644992672	0.428167842768328	0.000132427957532877	0.0315499576401054	0.000132427957532877	0.0204104589547546	NA	"abundance"	80	55
"TRPSYN.PWY..L.tryptophan.biosynthesis"	"propionate"	"propionate"	"propionate"	-0.116939834314338	0.116063644992672	0.0512171157730877	0.000132401010688454	0.0315499576401054	0.000132401010688454	0.0204104589547546	NA	"abundance"	80	80
"CALVIN.PWY..Calvin.Benson.Bassham.cycle"	"propionate"	"propionate"	"propionate"	-0.0714821789218704	0.116063644992672	0.0396267581235286	0.000190452992126833	0.0440394536500341	0.000190452992126833	0.0276268869755747	NA	"abundance"	80	80
"PWY.7238..sucrose.biosynthesis.II"	"propionate"	"propionate"	"propionate"	-0.126597296308409	0.116063644992672	0.055866276470995	0.000197081395263865	0.0442701122732716	0.000197081395263865	0.0277715840411824	NA	"abundance"	80	80
"P161.PWY..acetylene.degradation..anaerobic."	"propionate"	"propionate"	"propionate"	0.767665311164813	0.116063644992672	0.166258370804706	0.000246995636789427	0.0539411026788464	0.000246995636789427	0.0338384022401514	NA	"abundance"	80	80
"GLUTORN.PWY..L.ornithine.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.107029870144945	0.116063644992672	0.0533101263516733	0.000357845425130288	0.0760373170911979	0.000357845425130288	0.0476998280200697	NA	"abundance"	80	80
"PWY.4041...gamma..glutamyl.cycle"	"acetate"	"acetate"	"acetate"	0.254087103153694	-0.0209177725656103	0.0658434413627223	0.00040840318941715	0.0823298942358368	0.00040840318941715	0.0516472956462919	NA	"abundance"	80	79
"PWY.5973..cis.vaccenate.biosynthesis"	"acetate"	"acetate"	"acetate"	0.250129325106195	-0.0209177725656103	0.0647266747028257	0.000403028804917049	0.0823298942358368	0.000403028804917049	0.0516472956462919	NA	"abundance"	80	80
