"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Bifidobacterium_bifidum.t__SGB17256"	"Termness"	"preterm"	"Termnesspreterm"	3.33066126586811	0	0.613744064729166	5.73759853018197e-08	7.22937414802929e-06	1.14751967311636e-07	7.3441259079447e-06	NA	"prevalence"	80	43
"Streptococcus_salivarius.t__SGB8007_group"	"Termness"	"preterm"	"Termnesspreterm"	-2.78890366079482	0	0.562826322507434	7.22647310844634e-07	4.5526780583212e-05	1.44529409947013e-06	4.62494111830442e-05	NA	"prevalence"	80	36
"Streptococcus_parasanguinis.t__SGB8071"	"Termness"	"preterm"	"Termnesspreterm"	-3.49883293434696	0	0.882400562667476	7.33559601754014e-05	0.00308095032736686	0.00014670653925391	0.0031297395040834	NA	"prevalence"	80	20
"Haemophilus_parainfluenzae.t__SGB9663_group"	"Termness"	"preterm"	"Termnesspreterm"	-2.00517587042625	0	0.526778059289667	0.000140952496458556	0.00444000363844453	0.000281885125310855	0.00451016200497368	NA	"prevalence"	80	28
"Klebsiella_pneumoniae.t__SGB10115"	"Termness"	"preterm"	"Termnesspreterm"	2.03007332041314	0	0.567937048689537	0.000350939514789588	0.00736972981058135	0.000701755871036136	0.00734214727040288	NA	"prevalence"	80	38
"Rothia_mucilaginosa.t__SGB16971_group"	"Termness"	"preterm"	"Termnesspreterm"	-3.16080154371398	0	0.882911484468962	0.000343626333733693	0.00736972981058135	0.00068713458841015	0.00734214727040288	NA	"prevalence"	80	17
"Veillonella_dispar.t__SGB6952"	"Termness"	"preterm"	"Termnesspreterm"	-1.87797237929526	0	0.548077183529452	0.00061147164148241	0.0110064895466834	0.00122256938539648	0.00978055508317185	NA	"prevalence"	80	25
"Enterobacter_hormaechei.t__SGB10130"	"Termness"	"preterm"	"Termnesspreterm"	7.00809879832524	-0.544653797717061	1.68868530561392	0.000803047357700315	0.01264799588378	0.000803047357700315	0.00734214727040288	NA	"abundance"	80	18
"Staphylococcus_hominis.t__SGB7858"	"Termness"	"preterm"	"Termnesspreterm"	-1.80046648650195	0	0.566761672218521	0.00148929613732687	0.0208501459225762	0.00297637427166909	0.0211653281540913	NA	"prevalence"	80	21
"Enterococcus_faecalis.t__SGB7962"	"Termness"	"preterm"	"Termnesspreterm"	1.54850418997825	0	0.577337038309941	0.00731507835461243	0.0921699872681167	0.0145766463378908	0.0848095786931826	NA	"prevalence"	80	62
"Lactobacillus_acidophilus.t__SGB7044"	"Termness"	"preterm"	"Termnesspreterm"	4.13883537971453	0	1.64596401882783	0.0119189215551476	0.12514867632905	0.0119189215551476	0.0762810979529448	NA	"prevalence"	80	18
"Bifidobacterium_bifidum.t__SGB17256"	"Termness"	"preterm"	"Termnesspreterm"	3.09606927741441	-0.544653797717061	1.39965488702477	0.0226364944726524	0.178262393972137	1.14751967311636e-07	7.3441259079447e-06	NA	"abundance"	80	43
"Rothia_mucilaginosa.t__SGB16971_group"	"Termness"	"preterm"	"Termnesspreterm"	-6.2084034820657	-0.544653797717061	2.34523734069342	0.035309057950895	0.247163405656265	0.00068713458841015	0.00734214727040288	NA	"abundance"	80	17
"Veillonella_dispar.t__SGB6952"	"Termness"	"preterm"	"Termnesspreterm"	1.80441086952325	-0.544653797717061	1.29063431000141	0.110129414842523	0.560183002517549	0.00122256938539648	0.00978055508317185	NA	"abundance"	80	25
"Haemophilus_parainfluenzae.t__SGB9663_group"	"Termness"	"preterm"	"Termnesspreterm"	1.1540985712679	-0.544653797717061	1.1369256736095	0.188314997347685	0.669387570263393	0.000281885125310855	0.00451016200497368	NA	"abundance"	80	28
"Streptococcus_salivarius.t__SGB8007_group"	"Termness"	"preterm"	"Termnesspreterm"	-1.8144216774779	-0.544653797717061	1.13285991878434	0.327991977184938	0.826539782506043	1.44529409947013e-06	4.62494111830442e-05	NA	"abundance"	80	36
"Enterococcus_faecalis.t__SGB7962"	"Termness"	"preterm"	"Termnesspreterm"	0.252028921501629	-0.544653797717061	0.86338663684281	0.433494956334738	0.874485731671039	0.0145766463378908	0.0848095786931826	NA	"abundance"	80	62
"Staphylococcus_hominis.t__SGB7858"	"Termness"	"preterm"	"Termnesspreterm"	-2.19873146729938	-0.544653797717061	2.05201637606392	0.438952412624955	0.874485731671039	0.00297637427166909	0.0211653281540913	NA	"abundance"	80	21
"Klebsiella_pneumoniae.t__SGB10115"	"Termness"	"preterm"	"Termnesspreterm"	-0.912740980224592	-0.544653797717061	2.00721874312957	0.856118157508311	0.974911384114858	0.000701755871036136	0.00734214727040288	NA	"abundance"	80	38
"Streptococcus_parasanguinis.t__SGB8071"	"Termness"	"preterm"	"Termnesspreterm"	-0.24968271024034	-0.544653797717061	2.8299513887144	0.917382748455152	0.974911384114858	0.00014670653925391	0.0031297395040834	NA	"abundance"	80	20
"Enterobacter_hormaechei.t__SGB10130"	"Termness"	"preterm"	"Termnesspreterm"	0.822420687559502	0	0.568660334573049	0.148109224892438	0.56550794958931	0.000803047357700315	0.00734214727040288	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	80	18
"Lactobacillus_acidophilus.t__SGB7044"	"Termness"	"preterm"	"Termnesspreterm"	NA	NA	NA	NA	NA	0.0119189215551476	0.0762810979529448	"No data points have the baseline factor level"	"abundance"	80	18
