source,target,importance
ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,0.856164383561644
FUCCAT.PWY..fucose.degradation,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.955038874490929
GLUCARDEG.PWY..D.glucarate.degradation.I,GALACTARDEG.PWY..D.galactarate.degradation.I,0.832207792207792
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,GLUCARDEG.PWY..D.glucarate.degradation.I,0.832207792207792
GLYOXYLATE.BYPASS..glyoxylate.cycle,AST.PWY..L.arginine.degradation.II..AST.pathway.,0.846971975393028
GLYOXYLATE.BYPASS..glyoxylate.cycle,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.838578304331729
GLYOXYLATE.BYPASS..glyoxylate.cycle,FUCCAT.PWY..fucose.degradation,0.787856349500185
GLYOXYLATE.BYPASS..glyoxylate.cycle,GLUCARDEG.PWY..D.glucarate.degradation.I,0.835379357484621
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.793766233766234
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.,GALACTITOLCAT.PWY..galactitol.degradation,0.987012987012987
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.792859174964438
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,GALACTARDEG.PWY..D.galactarate.degradation.I,0.771089669823847
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,0.771089669823847
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.937585199610516
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.98103700097371
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis,MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis,0.967064264849075
NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,0.856295283663705
NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,0.809463161791929
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,0.904406037000974
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.810061517429938
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.,0.795472249269718
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.,DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,0.778627069133398
ORNDEG.PWY..superpathway.of.ornithine.degradation,GLUCARDEG.PWY..D.glucarate.degradation.I,0.815533428165007
P122.PWY..heterolactic.fermentation,NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,0.797938903202061
P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.,GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol,0.878634798037783
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.7974679943101
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,GALACTARDEG.PWY..D.galactarate.degradation.I,0.858065984648263
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,GLUCARDEG.PWY..D.glucarate.degradation.I,0.796855775803144
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,0.858065984648263
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.786712235133288
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.,0.805550146056475
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I,0.823758519961052
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,0.807473222979552
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate,ORNDEG.PWY..superpathway.of.ornithine.degradation,0.784153627311522
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I,ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,0.945396375776123
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I,NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.,0.787554217933965
