name,carac,coef,term_col,deg
AEROBACTINSYN.PWY..aerobactin.biosynthesis,pathway,0.913473253958944,preterm,32
ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast,pathway,-1.18185301261914,term,9
ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,pathway,-0.791090281222513,term,137
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation,pathway,-0.196443955908646,term,76
AST.PWY..L.arginine.degradation.II..AST.pathway.,pathway,-1.50094614510237,term,144
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I,pathway,-0.367053200883679,term,130
Bifidobacterium_bifidum.t__SGB17256,species,-0.0185779949907515,term,13
Bifidobacterium_breve.t__SGB17247,species,-1.17660521056646,term,8
Bifidobacterium_longum.t__SGB17248,species,2.00430545957942,preterm,7
Bifidobacterium_pseudocatenulatum.t__SGB17237,species,-1.44289935131893,term,9
CARNMET.PWY..L.carnitine.degradation.I,pathway,-0.0176737093668373,term,74
CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,pathway,-3.05853944338335,term,124
CENTFERM.PWY..pyruvate.fermentation.to.butanoate,pathway,-0.141909487362663,term,16
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I,pathway,-0.791090281222513,term,147
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis,pathway,1.54438767655938,preterm,86
CRNFORCAT.PWY..creatinine.degradation.I,pathway,-0.852715710525978,term,26
Citrobacter_freundii.t__SGB10083,species,-0.325563201240494,term,13
Clostridium_neonatale.t__SGB6169,species,0.51942452561327,preterm,5
Clostridium_perfringens.t__SGB6191,species,-1.74166121122882,term,6
Cutibacterium_avidum.t__SGB16953,species,-0.629104922961469,term,12
DARABCATK12.PWY..D.arabinose.degradation.I,pathway,0.706676480519587,preterm,71
DENITRIFICATION.PWY..nitrate.reduction.I..denitrification.,pathway,0.881695259906518,preterm,17
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,pathway,-0.624648301751787,term,85
DHGLUCONATE.PYR.CAT.PWY..glucose.degradation..oxidative.,pathway,-1.75212979181798,term,1
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,pathway,0.279445364964425,preterm,107
ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,pathway,-1.85290646854609,term,118
Enterobacter_asburiae.t__SGB10141,species,1.07130861345786,preterm,46
Enterobacter_hormaechei.t__SGB10130,species,-0.520394026485302,term,11
