"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"isobutyrate"	"Sex"	"Female"	"SexFemale"	2.2128259907106	0	0.890372437937073	0.0175909053297704	0.703636213190815	0.0175909053297704	0.562908970552652	NA	"abundance"	46	46
"butyrate"	"Delivery_mode"	"C-section"	"Delivery_modeC-section"	2.93479526979277	0	1.37779807955461	0.0398812113085673	0.797624226171346	0.0398812113085673	0.638099380937077	NA	"abundance"	46	46
"acetate"	"Ethnicity"	"European"	"EthnicityEuropean"	0.587639459483553	0	0.485260034844525	0.233582090771271	0.812589636098584	0.233582090771271	0.830514100520074	NA	"abundance"	46	46
"acetate"	"Probiotics"	"Yes"	"ProbioticsYes"	1.34234500957905	0	0.868023021867132	0.130509995608741	0.812589636098584	0.130509995608741	0.696053309913283	NA	"abundance"	46	46
"acetate"	"Termness"	"term"	"Termnessterm"	1.24171759195564	0	0.796021443349588	0.127295993257201	0.812589636098584	0.127295993257201	0.696053309913283	NA	"abundance"	46	46
"butyrate"	"Sex"	"Female"	"SexFemale"	1.74762485370138	0	1.12741589287785	0.129626119205354	0.812589636098584	0.129626119205354	0.696053309913283	NA	"abundance"	46	46
"isobutyrate"	"Delivery_mode"	"C-section"	"Delivery_modeC-section"	1.5764926631099	0	1.08811082301371	0.155806470665923	0.812589636098584	0.155806470665923	0.71225815161565	NA	"abundance"	46	46
"isobutyrate"	"Probiotics"	"Yes"	"ProbioticsYes"	-2.93305350902152	0	1.65981354445835	0.0854598617241923	0.812589636098584	0.0854598617241923	0.696053309913283	NA	"abundance"	46	46
"isobutyrate"	"Read_depth"	"Read_depth"	"Read_depth"	0.604165243553965	0	0.44313807043476	0.181001920104424	0.812589636098584	0.181001920104424	0.724007680417696	NA	"abundance"	46	46
"propionate"	"Antibiotics"	"Yes"	"AntibioticsYes"	-1.13967538100719	0	0.99759140548246	0.260817968383191	0.812589636098584	0.453609924134847	0.918448490303797	NA	"abundance"	46	45
"propionate"	"Feeding_method"	"Breastfed"	"Feeding_methodBreastfed"	-0.779910775371402	0	0.694543485772319	0.268908342229443	0.812589636098584	0.4655049879383	0.918448490303797	NA	"abundance"	46	45
