feature	Bifidobacterium_breve.t__SGB17247	Veillonella_parvula.t__SGB6939	Lacticaseibacillus_rhamnosus.t__SGB7144	Enterococcus_faecalis.t__SGB7962	Enterobacter_hormaechei.t__SGB10130	Klebsiella_grimontii.t__SGB10120	Staphylococcus_epidermidis.t__SGB7865	Staphylococcus_hominis.t__SGB7858	Streptococcus_vestibularis.t__SGB8003	Veillonella_dispar.t__SGB6952	Veillonella_atypica.t__SGB6936	Cutibacterium_avidum.t__SGB16953	Bifidobacterium_pseudocatenulatum.t__SGB17237	Clostridium_perfringens.t__SGB6191	Staphylococcus_aureus.t__SGB7852	Haemophilus_parainfluenzae.t__SGB9663_group	Finegoldia_magna.t__SGB6686_group	Staphylococcus_lugdunensis.t__SGB7850	Escherichia_coli.t__SGB10068	Bifidobacterium_bifidum.t__SGB17256	Raoultella_ornithinolytica.t__SGB10124	Lactobacillus_acidophilus.t__SGB7044	Klebsiella_variicola.t__SGB10114	Streptococcus_salivarius.t__SGB8007_group	Streptococcus_mitis.t__SGB8168	Klebsiella_pneumoniae.t__SGB10115	Streptococcus_parasanguinis.t__SGB8071	Klebsiella_michiganensis.t__SGB10119	Bifidobacterium_longum.t__SGB17248	Enterobacter_asburiae.t__SGB10141	Citrobacter_freundii.t__SGB10083	Clostridium_neonatale.t__SGB6169	Staphylococcus_haemolyticus.t__SGB7861	Clostridium_paraputrificum.t__SGB6187	Haemophilus_parainfluenzae.t__SGB9657	Haemophilus_haemolyticus.t__SGB9649	Scardovia_wiggsiae.t__SGB15494
CB10	NA	NA	NA	-4.96950401560396	NA	NA	-10.7526547846546	-8.76697585261181	NA	-12.5661209807741	NA	NA	NA	-4.75653369042315	-16.5669961370283	-11.1683562025098	NA	NA	NA	NA	NA	NA	NA	-13.6332768387041	NA	-0.630220191708257	-14.0686213213033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB11	-1.02627763705947	-4.96160710095088	-8.76798236168907	-12.392410335294	NA	NA	-7.78223482880919	-17.3466066456809	-13.1528349022842	-8.34759320023372	-6.43450322357716	-12.0544384176364	NA	NA	-9.81678569915222	NA	NA	-12.4729574738175	NA	NA	NA	NA	NA	-16.7457026010907	NA	-1.8207371947887	-8.50514712973653	-8.28011377242215	-8.21891318613848	-14.9406142860051	NA	NA	NA	-5.75461687806579	-18.0835722398471	NA	-11.506982920151
CB12	NA	NA	NA	NA	NA	NA	-5.94056025601392	-8.17814258163972	NA	-5.24859015129219	-9.72235863422778	-5.76684201647662	NA	NA	NA	-11.805380070263	NA	-6.00816650814156	NA	NA	NA	NA	NA	-8.25839173075663	NA	-1.76867593933617	NA	NA	-2.29693516830352	NA	NA	NA	-11.3424789678755	NA	NA	NA	-5.49593708251751
CB13	NA	NA	NA	-1.83818335881146	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.98823860225843	-11.3548951325381	-16.4333175575268	NA	NA	-0.539003630536474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CB14	NA	NA	NA	NA	NA	NA	-11.1085198401614	NA	NA	-8.52797063647418	NA	NA	NA	NA	-6.81043981450423	-6.19305403689491	NA	NA	NA	NA	NA	NA	NA	NA	-16.346606068603	-1.44393144445757	-10.8128869974631	-5.42183067182837	NA	-12.7191937817569	-4.82206027262974	-0.872593607686634	NA	NA	-10.5984132190136	-11.5128726197221	NA
CB15	NA	-11.7930407679019	NA	-7.8977326416643	NA	NA	-8.77991773935075	NA	NA	NA	NA	NA	NA	NA	-11.6629096142965	-7.32324443310616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.32924086331029	NA	NA	NA	NA	-0.0325540969716121	NA	NA	NA	NA	NA
CB16	-2.83853483928373	NA	NA	NA	NA	NA	-10.4395151125969	NA	NA	NA	NA	NA	NA	NA	-8.24638177272883	-11.8314318980387	NA	-7.74026255040548	-5.94905621082161	-0.310545349922212	NA	NA	NA	-7.81811939907584	-14.8272319095094	NA	NA	NA	-5.52930925564314	NA	NA	-12.4349144867307	NA	NA	NA	NA	NA
CB17	NA	-7.240523015837	NA	-8.7178567712185	NA	NA	-5.13132081951291	-6.43320549432918	NA	NA	NA	NA	NA	-4.92182303875016	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.77759702641842	-11.3765960731712	NA	-12.3785153165578	NA	NA	NA	NA	-1.18196457939928	NA	NA	NA	-3.22277295829091	NA
CB18	-2.79463179981245	-7.84188666370658	-10.7759916353808	-7.69465774641855	NA	NA	-3.63673993252995	-12.6657194364223	NA	-8.26232944661051	NA	-11.491945720306	NA	-17.6096407629758	-5.3096944110892	NA	NA	NA	NA	NA	NA	NA	NA	-5.76439379526057	-13.6024452615716	NA	NA	NA	-0.689677154597474	-10.4774752374977	NA	NA	NA	NA	NA	-10.7894618005606	-9.79099468015325
CB19	-1.31993905264888	-1.90274750406177	NA	-4.08195836575691	NA	NA	-3.24247707771642	NA	NA	NA	NA	NA	NA	NA	NA	-7.89560121505452	NA	-14.015092069156	NA	NA	NA	NA	NA	-7.63620154017217	NA	NA	-6.63339155987397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
