"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome."	"Read_depth"	"Read_depth"	"Read_depth"	0.611039079679944	0.0523521959423448	0.130212260248639	0.000187561888238985	0.0297902020048505	0.000375088597016051	0.0313060344844636	NA	"abundance"	46	44
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I"	"Termness"	"preterm"	"Termnesspreterm"	-0.353476450133501	0.188618384031044	0.0984257692372133	8.1414941134561e-05	0.0297902020048505	8.1414941134561e-05	0.0213675807439089	NA	"abundance"	46	46
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II"	"Termness"	"preterm"	"Termnesspreterm"	-0.336519807430468	0.188618384031044	0.10484118698746	0.000205610333318118	0.0297902020048505	0.000205610333318118	0.0213675807439089	NA	"abundance"	46	46
"PWY.6124..inosine.5..phosphate.biosynthesis.II"	"Termness"	"preterm"	"Termnesspreterm"	-0.477850920704152	0.188618384031044	0.143343860616939	0.000177251848199167	0.0297902020048505	0.000177251848199167	0.0213675807439089	NA	"abundance"	46	46
"PWY.6151..S.adenosyl.L.methionine.salvage.I"	"Termness"	"preterm"	"Termnesspreterm"	-0.372246354221413	0.188618384031044	0.111939949446455	0.000156149429660246	0.0297902020048505	0.000156149429660246	0.0213675807439089	NA	"abundance"	46	46
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	-0.336519807430468	0.188618384031044	0.10484118698746	0.000205923055333068	0.0297902020048505	0.000205923055333068	0.0213675807439089	NA	"abundance"	46	46
"PWY.7200..superpathway.of.pyrimidine.deoxyribonucleoside.salvage"	"Termness"	"preterm"	"Termnesspreterm"	-2.84941096106842	0.188618384031044	0.662118610664113	7.61604125573134e-05	0.0297902020048505	7.61604125573134e-05	0.0213675807439089	NA	"abundance"	46	34
"PWY0.881..superpathway.of.fatty.acid.biosynthesis.I..E..coli."	"Termness"	"preterm"	"Termnesspreterm"	-3.24129236644643	0.188618384031044	0.523875098522525	7.10582221490341e-05	0.0297902020048505	0.000142111395027133	0.0213675807439089	NA	"abundance"	46	13
"PWY1ZNC.1..assimilatory.sulfate.reduction.IV"	"Termness"	"preterm"	"Termnesspreterm"	1.11211207655593	0.188618384031044	0.201664607009726	0.000103480321371308	0.0297902020048505	0.000206949934565704	0.0213675807439089	NA	"abundance"	46	45
"PWY.3841..folate.transformations.II..plants."	"Termness"	"preterm"	"Termnesspreterm"	-0.31460736843542	0.188618384031044	0.106140895202468	0.000379007681409971	0.0493468001195782	0.000379007681409971	0.0313060344844636	NA	"abundance"	46	46
"PWY.6123..inosine.5..phosphate.biosynthesis.I"	"Termness"	"preterm"	"Termnesspreterm"	-0.34043006734999	0.188618384031044	0.11731316213765	0.000489652700224608	0.0579570741538581	0.000489652700224608	0.0367684663986842	NA	"abundance"	46	46
"MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis"	"Read_depth"	"Read_depth"	"Read_depth"	0.576046896883611	0.0523521959423448	0.134597961773622	0.000549944539293357	0.0596689825133292	0.000549944539293357	0.037854515788026	NA	"abundance"	46	46
"METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis"	"Read_depth"	"Read_depth"	"Read_depth"	0.602174049417713	0.0523521959423448	0.142837524499314	0.000600445528518234	0.0601369290869801	0.000600445528518234	0.038151385119697	NA	"abundance"	46	46
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration."	"Read_depth"	"Read_depth"	"Read_depth"	0.590240863785065	0.0523521959423448	0.140786648902537	0.00064679658628819	0.0601520825248016	0.00064679658628819	0.0381609985910032	NA	"abundance"	46	46
"ECASYN.PWY..enterobacterial.common.antigen.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	1.44349301344886	0.188618384031044	0.33302121149454	0.000701558848242856	0.0608953080274799	0.00140262551166816	0.0454879272379627	NA	"abundance"	46	43
"HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I"	"Read_depth"	"Read_depth"	"Read_depth"	0.643053840362359	0.0523521959423448	0.159641492473964	0.000838416444796208	0.0609738693675659	0.000838416444796208	0.0408313665239196	NA	"abundance"	46	46
"LACTOSECAT.PWY..lactose.and.galactose.degradation.I"	"Termness"	"preterm"	"Termnesspreterm"	-2.51353198016867	0.188618384031044	0.749056043588601	0.000856646826032037	0.0609738693675659	0.000856646826032037	0.0408313665239196	NA	"abundance"	46	45
"PWY.7977..L.methionine.biosynthesis.IV"	"Termness"	"preterm"	"Termnesspreterm"	0.953850617214987	0.188618384031044	0.199906140824924	0.000876919827326739	0.0609738693675659	0.000876919827326739	0.0408313665239196	NA	"abundance"	46	46
"PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction."	"Read_depth"	"Read_depth"	"Read_depth"	-0.599818569642202	0.0523521959423448	0.178211072139401	0.000889787648221008	0.0609738693675659	0.000889787648221008	0.0408313665239196	NA	"abundance"	46	46
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome."	"Termness"	"preterm"	"Termnesspreterm"	1.16239833327341	0.188618384031044	0.263836346376869	0.00099638901687249	0.0648649249983991	0.00199178524267204	0.0514129565764719	NA	"abundance"	46	44
"DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	-1.38590682357409	0.188618384031044	0.446276489423005	0.00117890739981341	0.067854988619807	0.00117890739981341	0.0454879272379627	NA	"abundance"	46	45
"PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type"	"Termness"	"preterm"	"Termnesspreterm"	-1.8961775671184	0.188618384031044	0.589811707936242	0.00109994641882127	0.067854988619807	0.00109994641882127	0.0454879272379627	NA	"abundance"	46	45
"RUMP.PWY..formaldehyde.oxidation.I"	"Termness"	"preterm"	"Termnesspreterm"	-2.04929267391931	0.188618384031044	0.630086789395817	0.00119866723368323	0.067854988619807	0.00119866723368323	0.0454879272379627	NA	"abundance"	46	38
"PWY0.1261..anhydromuropeptides.recycling.I"	"Termness"	"preterm"	"Termnesspreterm"	0.965153569280331	0.188618384031044	0.211433998747828	0.0012543059914758	0.0680461000375622	0.0012543059914758	0.0454879272379627	NA	"abundance"	46	46
"HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I"	"Termness"	"preterm"	"Termnesspreterm"	1.29563029309277	0.188618384031044	0.316092354009428	0.00145348745877394	0.0691405479991067	0.00145348745877394	0.0454879272379627	NA	"abundance"	46	46
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I"	"Read_depth"	"Read_depth"	"Read_depth"	-0.164313856368353	0.0523521959423448	0.0497096386534487	0.00146215421461182	0.0691405479991067	0.00146215421461182	0.0454879272379627	NA	"abundance"	46	46
"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate"	"Termness"	"preterm"	"Termnesspreterm"	-0.201069306448864	0.188618384031044	0.0857501867745835	0.00148689350535713	0.0691405479991067	0.00148689350535713	0.0454879272379627	NA	"abundance"	46	46
"PWY.6629..superpathway.of.L.tryptophan.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	-0.184905069076531	0.188618384031044	0.0778956415561679	0.00133030606398776	0.0691405479991067	0.00133030606398776	0.0454879272379627	NA	"abundance"	46	46
"COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic."	"Read_depth"	"Read_depth"	"Read_depth"	-0.247348540942889	0.0523521959423448	0.0804310395189493	0.00172510502111489	0.0768217870758159	0.00172510502111489	0.0508905981228893	NA	"abundance"	46	46
"NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I"	"Termness"	"preterm"	"Termnesspreterm"	-0.267253954963063	0.188618384031044	0.115266865303814	0.00196638365445889	0.0768217870758159	0.00196638365445889	0.0514129565764719	NA	"abundance"	46	46
"P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"	"Read_depth"	"Read_depth"	"Read_depth"	0.554858546096412	0.0523521959423448	0.146771317538087	0.00193827634341437	0.0768217870758159	0.0038727957716453	0.0539414700439961	NA	"abundance"	46	45
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II"	"Read_depth"	"Read_depth"	"Read_depth"	-0.166568007487185	0.0523521959423448	0.0529497260883471	0.00187355678070589	0.0768217870758159	0.00187355678070589	0.0514129565764719	NA	"abundance"	46	46
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis"	"Read_depth"	"Read_depth"	"Read_depth"	-0.166568007487185	0.0523521959423448	0.0529497260883471	0.00185686807090968	0.0768217870758159	0.00185686807090968	0.0514129565764719	NA	"abundance"	46	46
"PWY.7446..sulfoquinovose.degradation.I"	"Read_depth"	"Read_depth"	"Read_depth"	-2.36769214591776	0.0523521959423448	0.683483753188842	0.00208153504661057	0.0768217870758159	0.00415873730507088	0.0539414700439961	NA	"abundance"	46	23
"PWY0.1296..purine.ribonucleosides.degradation"	"Read_depth"	"Read_depth"	"Read_depth"	-0.312667669194164	0.0523521959423448	0.104152832857891	0.00212410471177371	0.0768217870758159	0.00212410471177371	0.0516032497625025	NA	"abundance"	46	46
"SO4ASSIM.PWY..assimilatory.sulfate.reduction.I"	"Termness"	"preterm"	"Termnesspreterm"	1.45013166160113	0.188618384031044	0.378024379653542	0.00211790895726671	0.0768217870758159	0.00211790895726671	0.0516032497625025	NA	"abundance"	46	46
"COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals."	"Read_depth"	"Read_depth"	"Read_depth"	-0.219945440914764	0.0523521959423448	0.075199985273212	0.00247921952705177	0.0796971910092629	0.00247921952705177	0.0539414700439961	NA	"abundance"	46	46
"MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	1.07184662817252	0.188618384031044	0.266505818271738	0.0026932998497754	0.0796971910092629	0.0026932998497754	0.0539414700439961	NA	"abundance"	46	46
"METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	1.13683071629757	0.188618384031044	0.282820265960813	0.00232709909560347	0.0796971910092629	0.00232709909560347	0.0539414700439961	NA	"abundance"	46	46
"P23.PWY..reductive.TCA.cycle.I"	"Termness"	"preterm"	"Termnesspreterm"	-1.65984583165912	0.188618384031044	0.550625169134931	0.00262909761750574	0.0796971910092629	0.00262909761750574	0.0539414700439961	NA	"abundance"	46	29
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."	"Termness"	"preterm"	"Termnesspreterm"	-0.260922732681694	0.188618384031044	0.117046446151457	0.00251720856931548	0.0796971910092629	0.00251720856931548	0.0539414700439961	NA	"abundance"	46	46
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	-0.323815568828201	0.188618384031044	0.140316754492912	0.0024962447477983	0.0796971910092629	0.0024962447477983	0.0539414700439961	NA	"abundance"	46	46
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	0.97141864972279	0.188618384031044	0.231979245748688	0.00266452723788779	0.0796971910092629	0.00532195477037414	0.0610546477823478	NA	"abundance"	46	43
"PWY.822..fructan.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	-2.04690545705758	0	0.676972535825313	0.00249772683859894	0.0796971910092629	0.00498921503783761	0.0597259655254184	NA	"prevalence"	46	22
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose."	"Read_depth"	"Read_depth"	"Read_depth"	-0.120381050856966	0.0523521959423448	0.0386005002956439	0.00314547787045516	0.0798309359679722	0.00314547787045516	0.0539414700439961	NA	"abundance"	46	46
"ARO.PWY..chorismate.biosynthesis.I"	"Termness"	"preterm"	"Termnesspreterm"	-0.160508532451506	0.188618384031044	0.0801085817926747	0.002844272731366	0.0798309359679722	0.002844272731366	0.0539414700439961	NA	"abundance"	46	46
"COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals."	"Termness"	"preterm"	"Termnesspreterm"	-0.330336150890058	0.188618384031044	0.148897006649826	0.00335875535680707	0.0798309359679722	0.00335875535680707	0.0539414700439961	NA	"abundance"	46	46
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis"	"Termness"	"preterm"	"Termnesspreterm"	-0.145616338222618	0.188618384031044	0.0748951042954758	0.00312911410312333	0.0798309359679722	0.00312911410312333	0.0539414700439961	NA	"abundance"	46	46
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli."	"Termness"	"preterm"	"Termnesspreterm"	-2.05434865521588	0.188618384031044	0.65381807254761	0.00359898930516289	0.0798309359679722	0.00718502588630711	0.0717740014946774	NA	"abundance"	46	19
