"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Bifidobacterium_bifidum.t__SGB17256"	"Termness"	"term"	"Termnessterm"	-3.20062832852047	0	0.783191842639248	4.3765286986933e-05	0.00621467075214449	8.7528658573521e-05	0.00647712073444056	NA	"prevalence"	46	23
"Enterobacter_hormaechei.t__SGB10130"	"Termness"	"term"	"Termnessterm"	-8.32406228191008	0.594152111852136	1.72217826554038	0.00143404934553171	0.0659352231898617	0.00143404934553171	0.0530598257846732	NA	"abundance"	46	11
"Haemophilus_parainfluenzae.t__SGB9663_group"	"Termness"	"term"	"Termnessterm"	2.31404093276375	0	0.725489673284998	0.001424568816378	0.0659352231898617	0.00284710823644339	0.0686573995375735	NA	"prevalence"	46	17
"Staphylococcus_hominis.t__SGB7858"	"Termness"	"term"	"Termnessterm"	2.93271687492655	0	0.942345725547698	0.00185733023070033	0.0659352231898617	0.00371121078581479	0.0686573995375735	NA	"prevalence"	46	13
"Streptococcus_salivarius.t__SGB8007_group"	"Termness"	"term"	"Termnessterm"	1.95800042023572	0	0.660916457498926	0.00305098699903075	0.0866480307724732	0.00609266547639324	0.0901714490506199	NA	"prevalence"	46	24
"Bifidobacterium_bifidum.t__SGB17256"	"Termness"	"term"	"Termnessterm"	2.69670297388599	0.594152111852136	1.03899900003822	0.109781743721218	0.838480179480499	8.7528658573521e-05	0.00647712073444056	NA	"abundance"	46	23
"Staphylococcus_hominis.t__SGB7858"	"Termness"	"term"	"Termnessterm"	4.19669912085987	0.594152111852136	4.63665463246162	0.453395859742926	0.958857549552536	0.00371121078581479	0.0686573995375735	NA	"abundance"	46	13
"Haemophilus_parainfluenzae.t__SGB9663_group"	"Termness"	"term"	"Termnessterm"	0.256539599091	0.594152111852136	1.71603891553014	0.851588999534131	0.999872115251899	0.00284710823644339	0.0686573995375735	NA	"abundance"	46	17
"Streptococcus_salivarius.t__SGB8007_group"	"Termness"	"term"	"Termnessterm"	1.3389675526961	0.594152111852136	1.44395499674453	0.633605984537637	0.999872115251899	0.00609266547639324	0.0901714490506199	NA	"abundance"	46	24
"Enterobacter_hormaechei.t__SGB10130"	"Termness"	"term"	"Termnessterm"	-1.09107222601745	0	0.742511614756986	0.141714959912197	0.838480179480499	0.00143404934553171	0.0530598257846732	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	46	11
