"var1","var2","cor","p_value","FDR"
"FUCCAT.PWY..fucose.degradation","FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation",0.938840229537904,0,0
"GLYOXYLATE.BYPASS..glyoxylate.cycle","FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation",0.909245604083948,0,0
"HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.","GALACTITOLCAT.PWY..galactitol.degradation",0.988706945228684,0,0
"P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.","GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol",0.960931174089069,0,0
"POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I","ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis",0.974308300395257,0,0
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis","DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II",0.9276955602537,0,0
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.","FAO.PWY..fatty.acid..beta..oxidation.I..generic.",0.963908184838417,0,0
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation",0.927882667530994,0,0
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.969193597100574,0,0
"PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I","PWY.5845..superpathway.of.menaquinol.9.biosynthesis",0.930081546360616,0,0
"PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I","PWY.5850..superpathway.of.menaquinol.6.biosynthesis",0.930081546360616,0,0
"PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis","PWY.5845..superpathway.of.menaquinol.9.biosynthesis",0.930081546360616,0,0
"PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis","PWY.5850..superpathway.of.menaquinol.6.biosynthesis",0.930081546360616,0,0
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I",0.930081546360616,0,0
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis",0.930081546360616,0,0
"PWY.6182..superpathway.of.salicylate.degradation","CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate",0.981312569521691,0,0
"PWY.6182..superpathway.of.salicylate.degradation","PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.",0.980867630700779,0,0
"PWY.6182..superpathway.of.salicylate.degradation","PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate",0.980867630700779,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate",0.972413793103448,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",0.982404692082111,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.",0.971968854282536,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate",0.971968854282536,0,0
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","PWY.6182..superpathway.of.salicylate.degradation",0.967074527252503,0,0
"PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.","PWY.5367..petroselinate.biosynthesis",0.973921200750469,0,0
"PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.","PWY.5367..petroselinate.biosynthesis",0.918198874296435,0,0
"PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.","PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.",0.970544090056285,0,0
"PWY.6607..guanosine.nucleotides.degradation.I","PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.",0.985714285714286,0,0
"PWY.6922..L.N.delta..acetylornithine.biosynthesis","PWY.4984..urea.cycle",0.956582633053221,0,0
"PWY.7185..UTP.and.CTP.dephosphorylation.I","PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III",0.936973410657621,0,0
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II",0.905006587615283,0,0
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis",0.942635658914729,0,0
"PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP","PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III",0.967611336032389,0,0
"PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP","PWY.7185..UTP.and.CTP.dephosphorylation.I",0.969433198380567,0,0
"PWY.7242..D.fructuronate.degradation","GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation",0.932561132561133,0,0
"PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis","COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis",0.961564171122995,0,0
"PWY.7391..isoprene.biosynthesis.II..engineered.","PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.",0.962096774193548,0,0
"PWY.922..mevalonate.pathway.I..eukaryotes.and.bacteria.","PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.",0.965384615384615,0,0
"PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation","PWY.5180..toluene.degradation.I..aerobic...via.o.cresol.",0.962180200222469,0,0
"PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.","PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I",0.944045102184637,0,0
"PWY66.430..myristate.biosynthesis..mitochondria.","PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast.",0.961191749427044,0,0
"PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.","PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.",0.94785059901339,0,0
"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I","PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage",0.957414678344911,0,0
"SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II","PWY.6353..purine.nucleotides.degradation.II..aerobic.",0.974638487208009,0,0
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation",0.910542095454177,0,0
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.937179099969798,0,0
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation",0.981274539414074,0,0
"TCA..TCA.cycle.I..prokaryotic.","PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation",0.932195711265479,0,0
"TCA..TCA.cycle.I..prokaryotic.","TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA",0.969948655995168,0,0
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","FUCCAT.PWY..fucose.degradation",0.903897577181752,2.22044604925031e-16,1.58655311111033e-13
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.900785261250378,2.22044604925031e-16,1.58655311111033e-13
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",0.893446088794926,4.44089209850063e-16,2.93806131687099e-13
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I",0.896254907882815,4.44089209850063e-16,2.93806131687099e-13
"PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I",0.896254907882815,4.44089209850063e-16,2.93806131687099e-13
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","PWY.7118..chitin.deacetylation",0.897614013893084,4.44089209850063e-16,2.93806131687099e-13
"GLUCARDEG.PWY..D.glucarate.degradation.I","GALACTARDEG.PWY..D.galactarate.degradation.I",0.893838719420115,6.66133814775094e-16,4.24969583333125e-13
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation","GLUCARDEG.PWY..D.glucarate.degradation.I",0.893838719420115,6.66133814775094e-16,4.24969583333125e-13
"TCA..TCA.cycle.I..prokaryotic.","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.893385684083359,8.88178419700125e-16,5.56685302143977e-13
"GLUCARDEG.PWY..D.glucarate.degradation.I","FUCCAT.PWY..fucose.degradation",0.894660076168868,1.33226762955019e-15,8.20630919539828e-13
"PWY.7118..chitin.deacetylation","PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation",0.88961038961039,1.55431223447522e-15,9.41175574387486e-13
"PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",0.947942157953281,1.77635683940025e-15,1.00733530864148e-12
"PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",0.947942157953281,1.77635683940025e-15,1.00733530864148e-12
"PWY.8004..Entner.Doudoroff.pathway.I","GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway",0.879973649538867,1.77635683940025e-15,1.00733530864148e-12
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","FUCCAT.PWY..fucose.degradation",0.893363584798639,1.77635683940025e-15,1.00733530864148e-12
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","GLUCARDEG.PWY..D.glucarate.degradation.I",0.887345212926608,2.22044604925031e-15,1.22042547008487e-12
"PWY.7254..TCA.cycle.VII..acetate.producers.","P23.PWY..reductive.TCA.cycle.I",0.96031746031746,2.22044604925031e-15,1.22042547008487e-12
"PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.","CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate",0.945717463848721,3.33066907387547e-15,1.80290126262538e-12
"PWY.5845..superpathway.of.menaquinol.9.biosynthesis","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",0.882965871337964,4.88498130835069e-15,2.49315488888767e-12
"PWY.5850..superpathway.of.menaquinol.6.biosynthesis","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",0.882965871337964,4.88498130835069e-15,2.49315488888767e-12
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",0.882965871337964,4.88498130835069e-15,2.49315488888767e-12
"PWY.6353..purine.nucleotides.degradation.II..aerobic.","PWY.5497..purine.nucleobases.degradation.II..anaerobic.",0.948768472906404,4.88498130835069e-15,2.49315488888767e-12
"PWY.7013...S..propane.1.2.diol.degradation","GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol",0.900607287449393,5.77315972805081e-15,2.90495640062455e-12
"PWY.922..mevalonate.pathway.I..eukaryotes.and.bacteria.","PWY.7391..isoprene.biosynthesis.II..engineered.",0.938709677419355,5.99520433297585e-15,2.97478708333188e-12
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis","NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.",0.873572938689218,1.02140518265514e-14,4.99872898021064e-12
"PWY.6182..superpathway.of.salicylate.degradation","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",0.940823136818687,1.11022302462516e-14,5.3599767267241e-12
"PWY.7242..D.fructuronate.degradation","GALACTUROCAT.PWY..D.galacturonate.degradation.I",0.881695162466575,1.26565424807268e-14,6.02890182221927e-12
"PWY.6305..superpathway.of.putrescine.biosynthesis","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I",0.866534914361001,1.46549439250521e-14,6.88898061403171e-12
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.",0.868217054263566,2.30926389122033e-14,1.07143846464594e-11
"GLUCARDEG.PWY..D.glucarate.degradation.I","FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation",0.87505064419415,3.530509218308e-14,1.60663606188388e-11
"PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I","FAO.PWY..fatty.acid..beta..oxidation.I..generic.",0.87012987012987,3.5527136788005e-14,1.60663606188388e-11
"PWY.5723..Rubisco.shunt","FAO.PWY..fatty.acid..beta..oxidation.I..generic.",0.866958622772576,5.6399329650958e-14,2.51865306388765e-11
"PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation","COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I",0.911382734912147,7.01660951563099e-14,3.09475792043744e-11
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.868730248764282,8.92619311798626e-14,3.88898994308753e-11
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","GLUCARDEG.PWY..D.glucarate.degradation.I",0.859710057384476,1.55875312657372e-13,6.70939930120153e-11
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","PWY.5845..superpathway.of.menaquinol.9.biosynthesis",0.856991845363938,2.24709140184132e-13,9.22753878415895e-11
"PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I","PWY.5850..superpathway.of.menaquinol.6.biosynthesis",0.856991845363938,2.24709140184132e-13,9.22753878415895e-11
"PWY.5896..superpathway.of.menaquinol.10.biosynthesis","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I",0.856991845363938,2.24709140184132e-13,9.22753878415895e-11
"TCA..TCA.cycle.I..prokaryotic.","PWY.7118..chitin.deacetylation",0.856991845363938,2.24709140184132e-13,9.22753878415895e-11
"PWY.6803..phosphatidylcholine.acyl.editing","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.856538810027182,2.38919994899334e-13,9.69960879292454e-11
"THISYN.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.I","PWY.6895..superpathway.of.thiamine.diphosphate.biosynthesis.II",0.845718050065876,2.64899213675562e-13,1.06334711323294e-10
"PWY0.1337..oleate..beta..oxidation","PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation.",0.858520379223726,3.61488616817951e-13,1.43494914715979e-10
"PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.852914527333132,3.84137166520304e-13,1.50809718803345e-10
"PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.850951374207188,4.9427129056312e-13,1.91938436159326e-10
"PWY.6305..superpathway.of.putrescine.biosynthesis","ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis",0.840316205533597,5.24469356832924e-13,2.0147518540014e-10
"PWY.6803..phosphatidylcholine.acyl.editing","LIPASYN.PWY..phospholipases",0.892717086834734,5.77093928200156e-13,2.1933252849871e-10
"P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.","AST.PWY..L.arginine.degradation.II..AST.pathway.",0.854306782270481,6.23945339839338e-13,2.34642854853686e-10
"PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.","PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.",0.864540337711069,6.51700915454967e-13,2.42527780266085e-10
"PWY.7118..chitin.deacetylation","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.847780126849894,7.37410132956029e-13,2.71594993917393e-10
"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.","DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis",0.836758893280632,8.10906897186214e-13,2.95616936825252e-10
"PWY.6305..superpathway.of.putrescine.biosynthesis","ORNDEG.PWY..superpathway.of.ornithine.degradation",0.846421020839625,8.73079386565223e-13,3.15067011761911e-10
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II",0.851551738108743,8.83737527601625e-13,3.15724069110956e-10
"TCA..TCA.cycle.I..prokaryotic.","FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation",0.851065553844907,9.39248678832882e-13,3.32233646534491e-10
"PWY.7118..chitin.deacetylation","FUCCAT.PWY..fucose.degradation",0.849120816789563,1.19459997449667e-12,4.18414496949686e-10
"PWY.7013...S..propane.1.2.diol.degradation","CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate",0.904692082111437,1.21502807814977e-12,4.21437797281347e-10
"NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.","DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II",0.838336856941508,1.24167343074078e-12,4.26538701794663e-10
"GLYOXYLATE.BYPASS..glyoxylate.cycle","GLUCARDEG.PWY..D.glucarate.degradation.I",0.843098761703413,1.30939703524291e-12,4.45519223629411e-10
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis","PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.",0.841588643914225,1.56963331221505e-12,5.29025657662215e-10
"PWY.7013...S..propane.1.2.diol.degradation","P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.",0.867600393916183,1.80233605817648e-12,6.01778112284233e-10
"POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I","ORNDEG.PWY..superpathway.of.ornithine.degradation",0.839474479009363,2.01660910192913e-12,6.67086821995558e-10
"GLYOXYLATE.BYPASS..glyoxylate.cycle","FUCCAT.PWY..fucose.degradation",0.842800421359695,2.55240273361323e-12,8.28974000555149e-10
"TCA..TCA.cycle.I..prokaryotic.","FUCCAT.PWY..fucose.degradation",0.842800421359695,2.55240273361323e-12,8.28974000555149e-10
"PWY66.399..gluconeogenesis.III","PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.",0.989285714285714,2.99893443411747e-12,9.60289601805085e-10
"PWY.6185..4.methylcatechol.degradation..ortho.cleavage.","AST.PWY..L.arginine.degradation.II..AST.pathway.",0.898460410557185,3.01048075357357e-12,9.60289601805085e-10
"PWY1ZNC.1..assimilatory.sulfate.reduction.IV","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I",0.830162085976039,3.21520587931445e-12,1.01651721455211e-09
"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I","GLYOXYLATE.BYPASS..glyoxylate.cycle",0.833887043189369,3.84492437888184e-12,1.20494533649064e-09
"PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.","AST.PWY..L.arginine.degradation.II..AST.pathway.",0.896260997067449,4.0893954889043e-12,1.27041515857909e-09
"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I","PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation",0.831923890063425,4.79616346638068e-12,1.47713565517169e-09
"PWY.6531..mannitol.cycle","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.",0.853643724696356,4.990674540295e-12,1.52390460364598e-09
"PWY.5723..Rubisco.shunt","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.83131984294775,5.13100673060762e-12,1.55347751235329e-09
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I",0.829507701600725,6.27209395531736e-12,1.88299856006444e-09
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II","ECASYN.PWY..enterobacterial.common.antigen.biosynthesis",0.834535288874483,6.56097398632483e-12,1.95331130529534e-09
"PWY.7200..superpathway.of.pyrimidine.deoxyribonucleoside.salvage","Staphylococcus_epidermidis.t__SGB7865",0.886029411764706,7.12940817493291e-12,2.09704608141063e-09
"PWY0.301..L.ascorbate.degradation.I..bacterial..anaerobic.","FAO.PWY..fatty.acid..beta..oxidation.I..generic.",0.828299607369375,7.16116055343718e-12,2.09704608141063e-09
"PWY.7118..chitin.deacetylation","GLUCARDEG.PWY..D.glucarate.degradation.I",0.828148595590456,7.28039850628193e-12,2.11463021980023e-09
"PWY0.42..2.methylcitrate.cycle.I","GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation",0.922466422466423,7.90234544467694e-12,2.2767676883591e-09
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.",0.832104367555303,8.57669490983426e-12,2.45128801878991e-09
"PWY0.42..2.methylcitrate.cycle.I","PWY.7242..D.fructuronate.degradation",0.921245421245421,9.54258894125815e-12,2.70570263901102e-09
"PWY0.301..L.ascorbate.degradation.I..bacterial..anaerobic.","PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",0.824826336454243,1.04245501120204e-11,2.9324998212759e-09
"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I","PWY.6803..phosphatidylcholine.acyl.editing",0.824675324675325,1.05941921901831e-11,2.95693836083188e-09
"PWY0.301..L.ascorbate.degradation.I..bacterial..anaerobic.","PWY.5723..Rubisco.shunt",0.824524312896406,1.07664988036049e-11,2.98173593998131e-09
"PWY0.42..2.methylcitrate.cycle.I","Escherichia_coli.t__SGB10068",0.957142857142857,1.11848308392837e-11,3.07376358895576e-09
"PWY66.391..fatty.acid..beta..oxidation.VI..mammalian.peroxisome.","Enterococcus_faecalis.t__SGB7962",0.932307692307692,1.2170264795941e-11,3.31904488625792e-09
"PWY.7013...S..propane.1.2.diol.degradation","PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.",0.900333704115684,1.2590817277669e-11,3.38210178993986e-09
