"feature","metadata","value","name","coef","null_hypothesis","stderr","pval_individual","qval_individual","pval_joint","qval_joint","error","model","N","N_not_zero"
"BC","Delivery_mode","C-section","Delivery_modeC-section",1.9923137061208,0,0.672379514948141,0.0056140921479181,0.101053658662526,0.0056140921479181,0.101053658662526,NA,"abundance",46,46
"PC","Delivery_mode","C-section","Delivery_modeC-section",1.72439979349532,0,0.560962879267237,0.00421838894870775,0.101053658662526,0.00421838894870775,0.101053658662526,NA,"abundance",46,46
"AC","Delivery_mode","C-section","Delivery_modeC-section",1.98135879711747,0,0.801001608410275,0.0186943221797545,0.202868814313824,0.0186943221797545,0.202868814313824,NA,"abundance",46,46
"BC","Termness","term","Termnessterm",2.22896956752728,0,0.93132231566384,0.0225409793682027,0.202868814313824,0.0225409793682027,0.202868814313824,NA,"abundance",46,46
"AC","Termness","term","Termnessterm",2.39703506961849,0,1.10947858495162,0.0380919421202772,0.274261983265996,0.0380919421202772,0.274261983265996,NA,"abundance",46,46
"BC","Ethnicity","European","EthnicityEuropean",-0.930363642697988,0,0.552931630393212,0.101892183792329,0.45851482706548,0.101892183792329,0.45851482706548,NA,"abundance",46,46
"BC","Read_depth","Read_depth","Read_depth",5.92923758337587e-08,0,3.36915208437895e-08,0.0876996272208292,0.45851482706548,0.0876996272208292,0.45851482706548,NA,"abundance",46,46
"PC","Termness","term","Termnessterm",1.31896728025905,0,0.776997567751469,0.0990118525563436,0.45851482706548,0.0990118525563436,0.45851482706548,NA,"abundance",46,46
"AC","Read_depth","Read_depth","Read_depth",5.64376142298419e-08,0,4.01365029506367e-08,0.169028901459449,0.553185495685468,0.169028901459449,0.553185495685468,NA,"abundance",46,46
"BC","Feeding_method","Breastfed","Feeding_methodBreastfed",0.812291549896403,0,0.547250372871849,0.147215497211909,0.553185495685468,0.147215497211909,0.553185495685468,NA,"abundance",46,46
"PC","Read_depth","Read_depth","Read_depth",3.96333151111467e-08,0,2.81086679758261e-08,0.167894813628583,0.553185495685468,0.167894813628583,0.553185495685468,NA,"abundance",46,46
"AC","acetate","acetate","acetate",-0.429343663734133,0,0.32361317088453,0.19370982228318,0.581129466849539,0.19370982228318,0.581129466849539,NA,"abundance",46,46
"BC","Probiotics","Yes","ProbioticsYes",1.34980420050346,0,1.06933043957231,0.215692966117085,0.591667770933122,0.215692966117085,0.591667770933122,NA,"abundance",46,46
"BC","propionate","propionate","propionate",0.152888952479975,0,0.12503911528817,0.230093022029547,0.591667770933122,0.230093022029547,0.591667770933122,NA,"abundance",46,46
"AC","propionate","propionate","propionate",-0.167900790445493,0,0.148958334145184,0.267801736005888,0.623856963769926,0.267801736005888,0.623856963769926,NA,"abundance",46,46
"BC","acetate","acetate","acetate",-0.300096193759206,0,0.271648476838912,0.277269761675523,0.623856963769926,0.277269761675523,0.623856963769926,NA,"abundance",46,46
"AC","Feeding_method","Breastfed","Feeding_methodBreastfed",0.607394351594846,0,0.6519360259024,0.358269563748089,0.729744690358729,0.358269563748089,0.729744690358729,NA,"abundance",46,46
"BC","Sex","Female","SexFemale",-0.524261522275845,0,0.570599541584847,0.364872345179365,0.729744690358729,0.364872345179365,0.729744690358729,NA,"abundance",46,46
"AC","Probiotics","Yes","ProbioticsYes",0.993516181234012,0,1.273886819835,0.441002411432804,0.835583516398997,0.441002411432804,0.835583516398997,NA,"abundance",46,46
"AC","Antibiotics","Yes","AntibioticsYes",0.412156745195934,0,0.945496779823278,0.665736423155088,0.862961790794541,0.665736423155088,0.862961790794541,NA,"abundance",46,46
"AC","butyrate","butyrate","butyrate",0.073533987119423,0,0.155989755997356,0.64045500085135,0.862961790794541,0.64045500085135,0.862961790794541,NA,"abundance",46,46
"AC","Ethnicity","European","EthnicityEuropean",-0.249979515141571,0,0.658704073279268,0.706746386497331,0.862961790794541,0.706746386497331,0.862961790794541,NA,"abundance",46,46
"BC","Antibiotics","Yes","AntibioticsYes",0.412735130636439,0,0.793672146881608,0.606512415411664,0.862961790794541,0.606512415411664,0.862961790794541,NA,"abundance",46,46
"BC","butyrate","butyrate","butyrate",0.0830306266992908,0,0.130941455514106,0.530383670741041,0.862961790794541,0.530383670741041,0.862961790794541,NA,"abundance",46,46
"PC","acetate","acetate","acetate",-0.0905809698297347,0,0.226634970769251,0.691969069356926,0.862961790794541,0.691969069356926,0.862961790794541,NA,"abundance",46,46
"PC","Antibiotics","Yes","AntibioticsYes",0.345069482391361,0,0.662156717762669,0.605756256572128,0.862961790794541,0.605756256572128,0.862961790794541,NA,"abundance",46,46
