source,target,importance
FUCCAT.PWY..fucose.degradation,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.938840229537904
GLYOXYLATE.BYPASS..glyoxylate.cycle,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.909245604083948
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.,GALACTITOLCAT.PWY..galactitol.degradation,0.988706945228684
P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.,GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol,0.960931174089069
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I,ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,0.974308300395257
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,0.9276955602537
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.963908184838417
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.927882667530994
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.969193597100574
PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,PWY.5845..superpathway.of.menaquinol.9.biosynthesis,0.930081546360616
PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,PWY.5850..superpathway.of.menaquinol.6.biosynthesis,0.930081546360616
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,PWY.5845..superpathway.of.menaquinol.9.biosynthesis,0.930081546360616
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,PWY.5850..superpathway.of.menaquinol.6.biosynthesis,0.930081546360616
PWY.5896..superpathway.of.menaquinol.10.biosynthesis,PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,0.930081546360616
PWY.5896..superpathway.of.menaquinol.10.biosynthesis,PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,0.930081546360616
PWY.6182..superpathway.of.salicylate.degradation,CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,0.981312569521691
PWY.6182..superpathway.of.salicylate.degradation,PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.,0.980867630700779
PWY.6182..superpathway.of.salicylate.degradation,PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate,0.980867630700779
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,0.972413793103448
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,0.982404692082111
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.,0.971968854282536
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate,0.971968854282536
PWY.6185..4.methylcatechol.degradation..ortho.cleavage.,PWY.6182..superpathway.of.salicylate.degradation,0.967074527252503
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.,PWY.5367..petroselinate.biosynthesis,0.973921200750469
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,PWY.5367..petroselinate.biosynthesis,0.918198874296435
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.,0.970544090056285
PWY.6607..guanosine.nucleotides.degradation.I,PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.,0.985714285714286
PWY.6922..L.N.delta..acetylornithine.biosynthesis,PWY.4984..urea.cycle,0.956582633053221
PWY.7185..UTP.and.CTP.dephosphorylation.I,PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III,0.936973410657621
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,0.905006587615283
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II,PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,0.942635658914729
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP,PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III,0.967611336032389
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP,PWY.7185..UTP.and.CTP.dephosphorylation.I,0.969433198380567
PWY.7242..D.fructuronate.degradation,GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation,0.932561132561133
PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis,COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis,0.961564171122995
PWY.7391..isoprene.biosynthesis.II..engineered.,PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.,0.962096774193548
PWY.922..mevalonate.pathway.I..eukaryotes.and.bacteria.,PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.,0.965384615384615
PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation,PWY.5180..toluene.degradation.I..aerobic...via.o.cresol.,0.962180200222469
PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.,PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I,0.944045102184637
PWY66.430..myristate.biosynthesis..mitochondria.,PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast.,0.961191749427044
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.,PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.,0.94785059901339
PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I,PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage,0.957414678344911
SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II,PWY.6353..purine.nucleotides.degradation.II..aerobic.,0.974638487208009
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.910542095454177
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.937179099969798
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,0.981274539414074
TCA..TCA.cycle.I..prokaryotic.,PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,0.932195711265479
TCA..TCA.cycle.I..prokaryotic.,TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,0.969948655995168
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,FUCCAT.PWY..fucose.degradation,0.903897577181752
PWY.7315..dTDP.N.acetylthomosamine.biosynthesis,ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,0.900785261250378
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,0.893446088794926
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I,0.896254907882815
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis,PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,0.896254907882815
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,PWY.7118..chitin.deacetylation,0.897614013893084
GLUCARDEG.PWY..D.glucarate.degradation.I,GALACTARDEG.PWY..D.galactarate.degradation.I,0.893838719420115
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,GLUCARDEG.PWY..D.glucarate.degradation.I,0.893838719420115
TCA..TCA.cycle.I..prokaryotic.,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.893385684083359
GLUCARDEG.PWY..D.glucarate.degradation.I,FUCCAT.PWY..fucose.degradation,0.894660076168868
PWY.7118..chitin.deacetylation,PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,0.88961038961039
PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.,PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,0.947942157953281
PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate,PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,0.947942157953281
PWY.8004..Entner.Doudoroff.pathway.I,GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway,0.879973649538867
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,FUCCAT.PWY..fucose.degradation,0.893363584798639
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation,GLUCARDEG.PWY..D.glucarate.degradation.I,0.887345212926608
PWY.7254..TCA.cycle.VII..acetate.producers.,P23.PWY..reductive.TCA.cycle.I,0.96031746031746
PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,0.945717463848721
PWY.5845..superpathway.of.menaquinol.9.biosynthesis,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,0.882965871337964
PWY.5850..superpathway.of.menaquinol.6.biosynthesis,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,0.882965871337964
PWY.5896..superpathway.of.menaquinol.10.biosynthesis,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,0.882965871337964
PWY.6353..purine.nucleotides.degradation.II..aerobic.,PWY.5497..purine.nucleobases.degradation.II..anaerobic.,0.948768472906404
PWY.7013...S..propane.1.2.diol.degradation,GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol,0.900607287449393
PWY.922..mevalonate.pathway.I..eukaryotes.and.bacteria.,PWY.7391..isoprene.biosynthesis.II..engineered.,0.938709677419355
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,0.873572938689218
PWY.6182..superpathway.of.salicylate.degradation,PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.,0.940823136818687
PWY.7242..D.fructuronate.degradation,GALACTUROCAT.PWY..D.galacturonate.degradation.I,0.881695162466575
PWY.6305..superpathway.of.putrescine.biosynthesis,POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I,0.866534914361001
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II,NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,0.868217054263566
GLUCARDEG.PWY..D.glucarate.degradation.I,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.87505064419415
PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.87012987012987
PWY.5723..Rubisco.shunt,FAO.PWY..fatty.acid..beta..oxidation.I..generic.,0.866958622772576
PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation,COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I,0.911382734912147
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis,ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,0.868730248764282
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA,GLUCARDEG.PWY..D.glucarate.degradation.I,0.859710057384476
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,PWY.5845..superpathway.of.menaquinol.9.biosynthesis,0.856991845363938
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,PWY.5850..superpathway.of.menaquinol.6.biosynthesis,0.856991845363938
PWY.5896..superpathway.of.menaquinol.10.biosynthesis,PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I,0.856991845363938
TCA..TCA.cycle.I..prokaryotic.,PWY.7118..chitin.deacetylation,0.856991845363938
PWY.6803..phosphatidylcholine.acyl.editing,PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,0.856538810027182
THISYN.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.I,PWY.6895..superpathway.of.thiamine.diphosphate.biosynthesis.II,0.845718050065876
PWY0.1337..oleate..beta..oxidation,PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation.,0.858520379223726
PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I,PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,0.852914527333132
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.,ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,0.850951374207188
PWY.6305..superpathway.of.putrescine.biosynthesis,ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,0.840316205533597
PWY.6803..phosphatidylcholine.acyl.editing,LIPASYN.PWY..phospholipases,0.892717086834734
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.,AST.PWY..L.arginine.degradation.II..AST.pathway.,0.854306782270481
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.,PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.,0.864540337711069
PWY.7118..chitin.deacetylation,GLYOXYLATE.BYPASS..glyoxylate.cycle,0.847780126849894
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.,DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,0.836758893280632
PWY.6305..superpathway.of.putrescine.biosynthesis,ORNDEG.PWY..superpathway.of.ornithine.degradation,0.846421020839625
PWY.7315..dTDP.N.acetylthomosamine.biosynthesis,PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II,0.851551738108743
TCA..TCA.cycle.I..prokaryotic.,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,0.851065553844907
PWY.7118..chitin.deacetylation,FUCCAT.PWY..fucose.degradation,0.849120816789563
PWY.7013...S..propane.1.2.diol.degradation,CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,0.904692082111437
NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.III..to.nicotinamide.riboside.,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,0.838336856941508
