name,carac,coef,term_col,deg
AC,cell,-4.90474223199088,preterm,16
ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast,pathway,-1.66051180333001,preterm,2
ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis,pathway,0.606606447962373,term,70
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation,pathway,4.59963596631522,term,55
AST.PWY..L.arginine.degradation.II..AST.pathway.,pathway,1.48741302818647,term,100
BC,cell,-2.01764594050183,preterm,5
Bifidobacterium_bifidum.t__SGB17256,species,1.83807273360371,term,29
Bifidobacterium_breve.t__SGB17247,species,2.2090695692896,term,5
Bifidobacterium_longum.t__SGB17248,species,-2.2450075885327,preterm,3
Bifidobacterium_pseudocatenulatum.t__SGB17237,species,0.751789803903033,term,6
CARNMET.PWY..L.carnitine.degradation.I,pathway,0.653435708091119,term,24
CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate,pathway,1.59820295100511,term,72
CENTFERM.PWY..pyruvate.fermentation.to.butanoate,pathway,-0.114908993440218,preterm,3
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I,pathway,0.606606447962373,term,80
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis,pathway,-0.653394163200668,preterm,24
CRNFORCAT.PWY..creatinine.degradation.I,pathway,0.41625498727082,term,17
Citrobacter_freundii.t__SGB10083,species,-0.742631430376948,preterm,7
Clostridium_neonatale.t__SGB6169,species,-1.77358853643219,preterm,1
Clostridium_paraputrificum.t__SGB6187,species,1.64135864239002,term,6
Clostridium_perfringens.t__SGB6191,species,5.67648938269475,term,3
Cutibacterium_avidum.t__SGB16953,species,-1.18806611665882,preterm,9
DARABCATK12.PWY..D.arabinose.degradation.I,pathway,-0.895456811715633,preterm,16
DENITRIFICATION.PWY..nitrate.reduction.I..denitrification.,pathway,-2.66893859759023,preterm,2
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II,pathway,0.308089575209724,term,44
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,pathway,-0.591615704414945,preterm,46
ECASYN.PWY..enterobacterial.common.antigen.biosynthesis,pathway,1.48741302818647,term,61
Enterobacter_asburiae.t__SGB10141,species,-1.42324195784327,preterm,14
Enterobacter_hormaechei.t__SGB10130,species,2.18664555049932,term,6
Enterococcus_faecalis.t__SGB7962,species,1.84006859840747,term,14
Escherichia_coli.t__SGB10068,species,0.421244727657348,term,59
FAO.PWY..fatty.acid..beta..oxidation.I..generic.,pathway,1.48741302818647,term,78
FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.,pathway,-1.17122210107619,preterm,46
FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage,pathway,0.469154695838842,term,49
FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation,pathway,0.766534190463162,term,98
FUCCAT.PWY..fucose.degradation,pathway,0.766534190463162,term,95
Finegoldia_magna.t__SGB6686_group,species,1.76040535950159,term,2
GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation,pathway,2.32137630551538,term,45
GALACTARDEG.PWY..D.galactarate.degradation.I,pathway,0.606606447962373,term,101
GALACTITOLCAT.PWY..galactitol.degradation,pathway,-3.32129764619479,preterm,35
GALACTUROCAT.PWY..D.galacturonate.degradation.I,pathway,1.1903041490939,term,51
GLUCARDEG.PWY..D.glucarate.degradation.I,pathway,1.48741302818647,term,101
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation,pathway,0.606606447962373,term,101
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation,pathway,1.99355499560637,term,62
GLUDEG.I.PWY..GABA.shunt,pathway,2.90621920115013,term,32
GLYCOCAT.PWY..glycogen.degradation.I,pathway,1.30692965586165,term,20
GLYCOL.GLYOXDEG.PWY..superpathway.of.glycol.metabolism.and.degradation,pathway,-0.990233253010057,preterm,28
GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway,pathway,0.606606447962373,term,75
